event,sentence
"('Jones,James', 'fg3', '6')",PLAYER_FIRST PLAYER_LAST hit STAT of 9 3s and scored 20 points.
"('Jones,James', 'pts', '20')",PLAYER_FIRST PLAYER_LAST hit 6 of 9 3s and scored STAT points.
"('House,Eddie', 'fg', '1')",JSTATs hit two around STAT from PLAYER_FIRST PLAYER_LAST and the lead was 76 51.
"('House,Eddie', 'fg3', '1')",JSTATs hit two around STAT from PLAYER_FIRST PLAYER_LAST and the lead was 76 51.
"('James,LeBron', 'tov', '9')",PLAYER_LAST had STAT turnovers.
"('MIA', 'fg', '33')",All three came off the bench to help the Sixers outscore the Heat 33 17 in the fourth.
"('James,LeBron', 'pts', '16')","PLAYER_LAST relied almost entirely on his left hand and scored STAT points, and Bosh had 15."
"('MIA', 'fg3', '8')",The Heat hit three straight 3 pointers in the third quarter to bust open an eight point halftime lead.
"('Turner,Evan', 'pts', '16')",PLAYER_FIRST PLAYER_LAST led the Sixers with STAT points in his first NBA game.
"('Wade,Dwyane', 'pts', '30')","Only Wade, with STAT points, looked particularly sharp against the Sixers."
"('Kapono,Jason', 'fg', '1')",It showed when he started PLAYER_FIRST PLAYER_LAST    STAT of the team leaders in DNP CD's last season.
"('Evans,Reggie', 'trb', '16')",Toronto's PLAYER_FIRST PLAYER_LAST had STAT rebounds but the Knicks outrebounded the Raptors 49 45.
"('TOR', 'fg3', '3')","Barbosa made a 3 pointer at 10:48 of the fourth, giving Toronto a 77 76 lead, its first since the second quarter."
"('NYK', 'pts', '98')","Chandler scored 22 points, Amare Stoudemire had _STAT_ points and _STAT_ rebounds and the Knicks beat the Toronto Raptors 98 93 in Wednesday's season opener."
"('TOR', 'fg3', '3')",New York reclaimed the lead before Toronto's David Andersen tied it with a 3 point play.
"('Fields,Landry', 'pts', '11')"," Raymond Felton scored 15 points, Danilo Gallinari had 12 and PLAYER_LAST STAT for the Knicks, with Toney Douglas adding 10."
"('Chandler,Wilson', 'pts', '22')","PLAYER_LAST scored STAT points, Amare Stoudemire had _STAT_ points and _STAT_ rebounds and the Knicks beat the Toronto Raptors 98 93 in Wednesday's season opener."
"('Chandler,Wilson', 'fg', '10')",PLAYER_LAST scored 22 Amare Stoudemire had STAT rebounds and the Knicks beat the Toronto Raptors 98 93 in Wednesday's season opener.
"('TOR', 'pts', '93')","Chandler scored 22 points, Amare Stoudemire had _STAT_ points and _STAT_ rebounds and the Knicks beat the Toronto Raptors 98 93 in Wednesday's season opener."
"('NYK', 'trb', '49')",Toronto's Reggie Evans had _STAT_ rebounds but the Knicks outrebounded the Raptors 49 45.
"('Gallinari,Danilo', 'pts', '12')"," Raymond Felton scored 15 points, PLAYER_FIRST PLAYER_LAST had STAT and Fields 11 for the Knicks, with Toney Douglas adding 10."
"('Andersen,David', 'fg', '3')",New York reclaimed the lead before Toronto's PLAYER_FIRST PLAYER_LAST tied it with a STAT point play.
"('Felton,Raymond', 'pts', '15')"," PLAYER_FIRST PLAYER_LAST scored STAT points, Danilo Gallinari had 12 and Fields 11 for the Knicks, with Toney Douglas adding 10."
"('NYK', 'fg3', '7')",Felton scored seven in the third as New York carried a two point edge into the fourth.
"('NYK', 'fg3', '7')","Chandler scored eight in the final quarter and Stoudemire added seven for New York, which led 74 72 through three."
"('Jack,Jarrett', 'ft', '2')","PLAYER_LAST made STAT free throws, then added a layup with one minute left, cutting it to 96 93."
"('Paul,Chris', 'ast', '16')"," Game notes
 Paul's STAT assists set a franchise record for assists in a season opener, eclipsing the 14 Muggsy Bogues had on Nov."
"('Jennings,Brandon', 'pts', '15')",Corey Maggette scored 16 for the Bucks and PLAYER_FIRST PLAYER_LAST had STAT points and 10 assists.
"('Jennings,Brandon', 'ast', '10')",Corey Maggette scored 16 for the Bucks and PLAYER_FIRST PLAYER_LAST had STAT assists.
"('Maggette,Corey', 'pts', '16')",PLAYER_FIRST PLAYER_LAST scored STAT for the Bucks and Brandon Jennings had _STAT_ points and 10 assists.
"('Gooden,Drew', 'pts', '15')","PLAYER_FIRST PLAYER_LAST had STAT points and 11 rebounds, but said his team put itself in a bad spot with sloppy play."
"('Gooden,Drew', 'trb', '11')","PLAYER_FIRST PLAYER_LAST had STAT rebounds, but said his team put itself in a bad spot with sloppy play."
"('Belinelli,Marco', 'pts', '18')"," David West led all scorers with 22 points, while new starting shooting guard PLAYER_FIRST PLAYER_LAST added STAT for New Orleans."
"('West,David', 'pts', '22')"," PLAYER_FIRST PLAYER_LAST led all scorers with STAT points, while new starting shooting guard Marco Belinelli added 18 for New Orleans."
"('Delfino,Carlos', 'fg3', '5')","PLAYER_FIRST PLAYER_LAST hit STAT 3 pointers and scored _STAT_ for Milwaukee, which led 72 67 late in the third quarter."
"('Delfino,Carlos', 'pts', '19')","PLAYER_FIRST PLAYER_LAST hit five 3 pointers and scored STAT points for Milwaukee, which led 72 67 late in the third quarter."
"('MIN', 'orb', '11')",Carl Landry had _STAT_ rebounds and the Kings held off the Timberwolves 117 116 on Wednesday night.
"('MIN', 'pts', '116')",Carl Landry had _STAT_ points and _STAT_ rebounds and the Kings held off the Timberwolves 117 116 on Wednesday night.
"('Beasley,Michael', 'fg3', '1')","PLAYER_FIRST PLAYER_LAST was quiet through the first three quarters, with just eight STAT rebound before coming alive in the fourth."
"('Landry,Carl', 'pts', '22')",PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds and the Kings held off the Timberwolves 117 116 on Wednesday night.
"('Landry,Carl', 'trb', '11')",PLAYER_FIRST PLAYER_LAST had STAT rebounds and the Kings held off the Timberwolves 117 116 on Wednesday night.
"('Cousins,DeMarcus', 'fg', '5')",5 pick PLAYER_LAST didn't play as big a role in the outcome as many thought it would.
"('SAC', 'pts', '117')",Carl Landry had _STAT_ points and _STAT_ rebounds and the Kings held off the Timberwolves 117 116 on Wednesday night.
"('Udrih,Beno', 'ft', '4')"," seconds to go, but PLAYER_LAST fed Omri Casspi for a dunk and hit STAT free throws to seal the win."
"('Casspi,Omri', 'fg', '4')"," seconds to go, but Udrih fed PLAYER_FIRST PLAYER_LAST for a dunk and hit STAT free throws to seal the win."
"('Telfair,Sebastian', 'pts', '15')",Wolves backup PG PLAYER_FIRST PLAYER_LAST had STAT points and six assists.
"('Telfair,Sebastian', 'ast', '6')",Wolves backup PG PLAYER_FIRST PLAYER_LAST had STAT assists.
"('Johnson,Wesley', 'pts', '13')"," PLAYER_LAST played well, scoring STAT points on 5 of 10 shooting."
"('Johnson,Wesley', 'fg', '5')"," PLAYER_LAST played well, scoring _STAT_ on STAT of 10 shooting."
"('OKC', 'ft', '38')"," Oklahoma City shot and made 25 more free throws than Chicago, finishing 38 for 47."
"('Noah,Joakim', 'trb', '19')","PLAYER_FIRST PLAYER_LAST had STAT 18 rebounds, Taj Gibson added _STAT_ rebounds and Deng scored 13 for Chicago."
"('Noah,Joakim', 'pts', '18')","PLAYER_FIRST PLAYER_LAST had _STAT_ points and STAT rebounds, Taj Gibson added _STAT_ points and _STAT_ rebounds and Deng scored 13 for Chicago."
"('Rose,Derrick', 'pts', '28')", PLAYER_LAST scored STAT points to lead the Bulls in Tom Thibodeau's debut as head coach.
"('Deng,Luol', 'pts', '13')","Joakim Noah had _STAT_ points and 18 rebounds, Taj Gibson added _STAT_ points and _STAT_ rebounds and PLAYER_LAST scored STAT for Chicago."
"('Gibson,Taj', 'pts', '16')","Joakim Noah had _STAT_ points and 18 rebounds, PLAYER_FIRST PLAYER_LAST added STAT points and _STAT_ rebounds and Deng scored 13 for Chicago."
"('Gibson,Taj', 'trb', '11')","Joakim Noah had 18 rebounds, PLAYER_FIRST PLAYER_LAST added STAT rebounds and Deng scored 13 for Chicago."
"('ATL', 'orb', '9')","Pachulia led the Hawks in the first half with nine rebounds, Johnson had Evans added seven."
"('Bibby,Mike', 'pts', '19')", PLAYER_FIRST PLAYER_LAST added STAT points as the Hawks shot 53 percent from the field and 87 percent from the free throw line.
"('ATL', 'fg3', '8')",Atlanta has won eight of its last nine regular season games against Memphis and is 20 10 all time against the Grizzlies.
"('Pachulia,Zaza', 'pts', '17')",Drew watched Joe Johnson lead the Hawks with _STAT_ points and PLAYER_FIRST PLAYER_LAST provide a spark off the bench with STAT points and 11 rebounds.
"('Pachulia,Zaza', 'trb', '11')",Drew watched Joe Johnson lead the Hawks with PLAYER_FIRST PLAYER_LAST provide a spark off the bench with STAT rebounds.
"('Conley,Mike', 'pts', '23')","PLAYER_FIRST PLAYER_LAST led the Grizzlies with STAT points and eight assists, and Rudy Gay added _STAT_ points and 10 rebounds."
"('Conley,Mike', 'ast', '8')","PLAYER_FIRST PLAYER_LAST led the Grizzlies with STAT assists, and Rudy Gay added 10 rebounds."
"('Johnson,Joe', 'pts', '22')",Drew watched PLAYER_FIRST PLAYER_LAST lead the Hawks with STAT points and Zaza Pachulia provide a spark off the bench with _STAT_ points and 11 rebounds.
"('Crawford,Jamal', 'pts', '13')",Reserve guard PLAYER_FIRST PLAYER_LAST scored STAT points.
"('Pachulia,Zaza', 'trb', '11')","PLAYER_LAST led the Hawks in the first half with nine rebounds, Johnson had STAT Evans added seven."
"('Smith,Josh', 'fg', '5')",PLAYER_FIRST PLAYER_LAST had STAT blocked shots for the Hawks.
"('Gay,Rudy', 'pts', '21')","Mike Conley led the Grizzlies with _STAT_ points and eight assists, and PLAYER_FIRST PLAYER_LAST added STAT points and 10 rebounds."
"('Gay,Rudy', 'trb', '10')","Mike Conley led the Grizzlies with eight assists, and PLAYER_FIRST PLAYER_LAST added STAT rebounds."
"('Randolph,Zach', 'ft', '2')","PLAYER_LAST limped off the court during a timeout, then returned to make STAT free throws."
"('Arthur,Darrell', 'pts', '19')",PLAYER_FIRST PLAYER_LAST scored a career high STAT points starting in place of Gasol.
"('Butler,Caron', 'pts', '13')", Jason Terry added _STAT_ points and PLAYER_FIRST PLAYER_LAST scored STAT for Dallas.
"('Nowitzki,Dirk', 'fg', '11')"," PLAYER_LAST went STAT for 13 from the field and converted all six free throws, but Carlisle was just as excited about Nowitzki's defense."
"('Nowitzki,Dirk', 'ft', '6')"," PLAYER_LAST went 11 for 13 from the field and converted all STAT free throws, but Carlisle was just as excited about Nowitzki's defense."
"('Thomas,Tyrus', 'pts', '22')","PLAYER_FIRST PLAYER_LAST scored STAT points and Gerald Wallace had 16 for the Bobcats, who've never beaten the Mavericks in 13 meetings."
"('Wallace,Gerald', 'pts', '16')","Tyrus Thomas scored _STAT_ points and PLAYER_FIRST PLAYER_LAST had STAT for the Bobcats, who've never beaten the Mavericks in 13 meetings."
"('DAL', 'stl', '12')","Dallas forced 21 turnovers, leading to 28 and finished with _STAT_ steals and five blocked shots."
"('Nowitzki,Dirk', 'fg3', '0')","The Mavs raced to a 16 STAT start, opening 7 for 10 from the floor with PLAYER_LAST hitting a 15 footer on Dallas' first attempt."
"('Terry,Jason', 'pts', '22')", PLAYER_FIRST PLAYER_LAST added STAT points and Caron Butler scored 13 for Dallas.
"('Collison,Darren', 'pts', '19')",PLAYER_FIRST PLAYER_LAST scored STAT points in his debut for the Pacers.
"('SAS', 'fg3', '9')",Ginobili was 5 of 9 from behind the 3 point line in a familiar Big Three led win for the Spurs.
"('Hibbert,Roy', 'pts', '28')", PLAYER_FIRST PLAYER_LAST led Indiana with STAT points and Danny Granger had 26.
"('Blair,DeJuan', 'pts', '9')",PLAYER_LAST had STAT points on just 2 of STAT shooting and three rebounds.
"('Blair,DeJuan', 'fg', '2')",PLAYER_LAST had nine on just STAT of 9 shooting and three rebounds.
"('Blair,DeJuan', 'orb', '2')",PLAYER_LAST had nine on just STAT of 9 shooting and three rebounds.
"('Blair,DeJuan', 'pts', '9')",PLAYER_LAST had STAT points on just 2 of STAT shooting and three rebounds.
"('Blair,DeJuan', 'trb', '3')",PLAYER_LAST had nine on just 2 of 9 shooting and STAT rebounds.
"('Collison,Darren', 'fg', '7')", PLAYER_LAST was STAT of 13 and had STAT assists.
"('Collison,Darren', 'ast', '7')", PLAYER_LAST was STAT of 13 and had STAT assists.
"('Collison,Darren', 'fg', '7')", PLAYER_LAST was STAT of 13 and had STAT assists.
"('Collison,Darren', 'ast', '7')", PLAYER_LAST was STAT of 13 and had STAT assists.
"('Parker,Tony', 'pts', '20')",He was the youngest opening night starter for the Spurs since PLAYER_LAST was STAT in 2002.
"('Ginobili,Manu', 'fg3', '5')",PLAYER_LAST was STAT of 9 from behind the 3 point line in a familiar Big Three led win for the Spurs.
"('Williams,Shelden', 'trb', '16')","But newcomer PLAYER_FIRST PLAYER_LAST had a solid performance, grabbing STAT rebounds."
"('Jefferson,Al', 'fg', '2')","The Nuggets made sure PLAYER_LAST didn't go off in Boozer or Malone fashion, frequently putting STAT bodies on him."
"('Ellis,Monta', 'fg3', '1')"," One of three team captains, PLAYER_LAST nearly blew it down the stretch, however."
"('Ellis,Monta', 'pts', '46')",Ellis' STAT points are the third most by a Warriors player in a season opener.
"('Hayes,Chuck', 'pts', '16')","Yao's replacement, PLAYER_FIRST Hayes, had STAT points, eight rebounds and six assists, but it wasn't enough to prevent Houston from falling to 0 2."
"('Hayes,Chuck', 'fg', '8')","Yao's replacement, PLAYER_FIRST Hayes, had 16 STAT rebounds and six assists, but it wasn't enough to prevent Houston from falling to 0 2."
"('Hayes,Chuck', 'trb', '8')","Yao's replacement, PLAYER_FIRST Hayes, had 16 STAT rebounds and six assists, but it wasn't enough to prevent Houston from falling to 0 2."
"('Hayes,Chuck', 'ast', '6')","Yao's replacement, PLAYER_FIRST Hayes, had 16 eight rebounds and STAT assists, but it wasn't enough to prevent Houston from falling to 0 2."
"('Hayes,Chuck', 'fg3', '0')","Yao's replacement, PLAYER_FIRST Hayes, had 16 eight rebounds and six assists, but it wasn't enough to prevent Houston from falling to STAT 2."
"('Camby,Marcus', 'pts', '11')","Nicolas Batum scored 15 points, Andre Miller 14, and former Clippers center PLAYER_FIRST PLAYER_LAST had STAT points and 14 rebounds."
"('Camby,Marcus', 'trb', '14')","Nicolas Batum scored 15 Andre Miller 14, and former Clippers center PLAYER_FIRST PLAYER_LAST had STAT rebounds."
"('Griffin,Blake', 'pts', '20')","PLAYER_LAST had STAT points and 14 rebounds, a year after his rookie season was supposed to begin."
"('Griffin,Blake', 'trb', '14')","PLAYER_LAST had STAT rebounds, a year after his rookie season was supposed to begin."
"('Roy,Brandon', 'trb', '10')",PLAYER_LAST added STAT rebounds.
"('Gordon,Eric', 'pts', '22')"," PLAYER_FIRST PLAYER_LAST led Los Angeles with STAT points, and Rasual Butler scored 16."
"('LAC', 'fg', '32')"," Despite Griffin's offensive exploits, the Clippers still trailed 32 23 after Roy scored Portland's last five of the first quarter."
"('LAC', 'fg3', '5')"," Despite Griffin's offensive exploits, the Clippers still trailed 32 23 after Roy scored Portland's last five of the first quarter."
"('Davis,Baron', 'pts', '8')","""I hate that we lost,"" said PLAYER_FIRST Davis, who had STAT points, three assists and four turnovers."
"('Davis,Baron', 'fg', '3')","""I hate that we lost,"" said PLAYER_FIRST Davis, who had eight STAT assists and four turnovers."
"('Davis,Baron', 'tov', '4')","""I hate that we lost,"" said PLAYER_FIRST Davis, who had eight three assists and STAT turnovers."
"('LAC', 'orb', '14')","Nicolas Batum scored 15 Andre Miller 14, and former Clippers center Marcus Camby had 14 rebounds."
"('Kaman,Chris', 'trb', '11')",PLAYER_LAST finished with STAT rebounds.
"('POR', 'trb', '51')"," Portland owned a 51 41 edge on the boards, including a 21 14 offensive edge."
"('POR', 'orb', '21')"," Portland owned a 51 41 edge on the boards, including a 21 14 offensive edge."
"('Aldridge,LaMarcus', 'pts', '19')","PLAYER_FIRST PLAYER_LAST added STAT points and _STAT_ rebounds for the Blazers, who gave Nate McMillan his 200th victory as coach."
"('Aldridge,LaMarcus', 'trb', '10')","PLAYER_FIRST PLAYER_LAST added STAT rebounds for the Blazers, who gave Nate McMillan his 200th victory as coach."
"('Batum,Nicolas', 'pts', '15')","PLAYER_FIRST PLAYER_LAST scored STAT points, Andre Miller 14, and former Clippers center Marcus Camby had _STAT_ points and 14 rebounds."
"('Miller,Andre', 'pts', '14')","Nicolas Batum scored 15 points, PLAYER_FIRST PLAYER_LAST 14, and former Clippers center Marcus Camby had _STAT_ points and STAT rebounds."
"('ORL', 'fg3', '8')"," Game notes
 After Magic PG Jason Williams played eight minutes in the fourth quarter before getting two technical fouls for arguing, an automatic ejection."
"('Nelson,Jameer', 'pts', '16')",Vince Carter had _STAT_ points and PLAYER_FIRST PLAYER_LAST scored STAT to help the Magic cruise to another blowout victory after a perfect preseason.
"('Carter,Vince', 'pts', '18')",PLAYER_FIRST PLAYER_LAST had STAT points and Jameer Nelson scored 16 to help the Magic cruise to another blowout victory after a perfect preseason.
"('Warrick,Hakim', 'pts', '18')","Reserve PLAYER_FIRST PLAYER_LAST added STAT points and 11 rebounds, while Jason Richardson chipped in 16 points, including a pair of 3 pointers."
"('Warrick,Hakim', 'trb', '11')","Reserve PLAYER_FIRST PLAYER_LAST added STAT rebounds, while Jason Richardson chipped in 16 including a pair of 3 pointers."
"('Richardson,Jason', 'pts', '16')","Reserve Hakim Warrick added _STAT_ points and 11 rebounds, while PLAYER_FIRST PLAYER_LAST chipped in STAT points, including a pair of 3 pointers."
"('Millsap,Paul', 'pts', '19')",PLAYER_FIRST PLAYER_LAST added STAT points and 13 rebounds.
"('Millsap,Paul', 'trb', '13')",PLAYER_FIRST PLAYER_LAST added STAT rebounds.
"('PHO', 'fg3', '10')",Nash scored 10 of his in the first half to help the Suns build a 58 42 advantage at the break.
"('Bell,Raja', 'pts', '7')"," PLAYER_FIRST PLAYER_LAST struggled in a game against his former team, scoring just STAT points on 3 of 12 shooting."
"('Bell,Raja', 'fg', '3')"," PLAYER_FIRST PLAYER_LAST struggled in a game against his former team, scoring just seven on STAT of 12 shooting."
"('PHO', 'pts', '110')",He scored _STAT_ points and had five assists to lift the Suns to a 110 94 victory over the Utah Jazz on Thursday night.
"('Kirilenko,Andrei', 'pts', '19')",PLAYER_FIRST PLAYER_LAST also had STAT points.
"('PHO', 'fg3', '10')",Utah lost its last home game in the 2009 10 season to Phoenix and now has dropped three in a row in the series.
"('UTA', 'pts', '94')",He scored _STAT_ points and had five assists to lift the Suns to a 110 94 victory over the Utah Jazz on Thursday night.
"('UTA', 'fg3', '3')",He ended a 9 0 Utah run in the third quarter with a driving layup followed by a 3 pointer.
"('Jefferson,Al', 'pts', '20')"," PLAYER_FIRST Jefferson, who the Jazz hope can fill the shoes of Carlos Boozer, scored STAT points to lead Utah (0 2)."
"('UTA', 'fg3', '3')",Utah was just 3 for 13 on 3 pointers while Phoenix made 10 of 26 from behind the arc.
"('UTA', 'fg3', '3')",Utah was just 3 for 13 on 3 pointers while Phoenix made 10 of 26 from behind the arc.
