event,sentence
"('Thompson,Klay', 'pts', '11')","Green had 18 points, _STAT_ rebounds and six assists, while PLAYER_FIRST PLAYER_LAST was limited to STAT points on 5 of 13 shooting."
"('Thompson,Klay', 'fg', '5')","Green had 18 _STAT_ rebounds and six assists, while PLAYER_FIRST PLAYER_LAST was limited to _STAT_ on STAT of 13 shooting."
"('Curry,Stephen', 'pts', '26')"," Curry, last season's first unanimous MVP, scored STAT points but was just 3 for 10 from 3 point range."
"('Curry,Stephen', 'fg3', '3')"," Curry, last season's first unanimous MVP, scored _STAT_ but was just STAT for 10 from STAT point range."
"('Curry,Stephen', 'fg3', '3')"," Curry, last season's first unanimous MVP, scored _STAT_ but was just STAT for 10 from STAT point range."
"('ORL', 'fg3', '6')",Serge Ibaka managed _STAT_ but shot just 6 of 17 from the field in his debut with the Magic.
"('MIA', 'fg3', '4')",He led the Heat with 18 _STAT_ rebounds and four blocked shots.
"('Ibaka,Serge', 'pts', '14')",PLAYER_FIRST PLAYER_LAST managed STAT points but shot just 6 of 17 from the field in his debut with the Magic.
"('Ibaka,Serge', 'fg', '6')",PLAYER_FIRST PLAYER_LAST managed _STAT_ but shot just STAT of 17 from the field in his debut with the Magic.
"('George,Paul', 'pts', '25')","PLAYER_LAST added STAT points, including another 3 with 55 seconds left to seal Indiana's fifth season opening win in six years."
"('DAL', 'pts', '121')","If Turner keeps this up, the Pacers could be celebrating a lot more than just a 130 121 season opening victory over the Dallas Mavericks."
"('IND', 'fg3', '10')","Indiana, in contrast, was 10 of 19 on 3s and no player attempted more than five."
"('Barea,J.J.', 'pts', '22')",PLAYER_LAST and Nowitzki each had STAT as the Mavs lost their fifth in a row in the series.
"('Nowitzki,Dirk', 'pts', '22')",Barea and PLAYER_LAST each had STAT as the Mavs lost their fifth in a row in the series.
"('Williams,Deron', 'pts', '25')",PLAYER_FIRST PLAYER_LAST led Dallas with STAT points.
"('IND', 'pts', '130')","If Turner keeps this up, the Pacers could be celebrating a lot more than just a 130 121 season opening victory over the Dallas Mavericks."
"('IND', 'fg3', '10')",Indiana had _STAT_ assists in the first quarter and finished with 30.
"('Barnes,Harrison', 'fg3', '3')",Dallas only led twice all night but managed to force overtime when PLAYER_FIRST Barnes' open STAT tied the score at 115 with 2.3 seconds left.
"('Bogdanovic,Bojan', 'pts', '21')","PLAYER_FIRST PLAYER_LAST scored STAT for Brooklyn, including a 3 pointer to make it 120 117 with 47 seconds left."
"('Bogdanovic,Bojan', 'fg3', '3')","PLAYER_FIRST PLAYER_LAST scored 21 for Brooklyn, including a STAT pointer to make it 120 117 with 47 seconds left."
"('Hamilton,Justin', 'fg3', '3')","Bradley had nine rebounds, the biggest after Hamilton's missed STAT point shot with 15 seconds left on another attempt to tie it."
"('Brown,Jaylen', 'pts', '9')","PLAYER_LAST scored STAT points on 3 for 4 shooting, and he added two blocked shots in 19 plus minutes."
"('Brown,Jaylen', 'fg', '3')","PLAYER_LAST scored nine on STAT for 4 shooting, and he added two blocked shots in 19 plus minutes."
"('Bradley,Avery', 'trb', '9')","PLAYER_LAST had STAT rebounds, the biggest after Hamilton's missed 3 point shot with 15 seconds left on another attempt to tie it."
"('Bradley,Avery', 'fg3', '3')","PLAYER_LAST had nine rebounds, the biggest after Hamilton's missed STAT point shot with 15 seconds left on another attempt to tie it."
"('BRK', 'pts', '117')","Bojan Bogdanovic scored 21 for Brooklyn, including a 3 pointer to make it 120 117 with 47 seconds left."
"('Hamilton,Justin', 'pts', '19')",PLAYER_FIRST PLAYER_LAST came off the bench to score a career high STAT points and grab _STAT_ rebounds for the Nets.
"('Hamilton,Justin', 'trb', '10')",PLAYER_FIRST PLAYER_LAST came off the bench to score a career high grab STAT rebounds for the Nets.
"('Brown,Jaylen', 'fg', '3')",3 overall draft pick PLAYER_FIRST PLAYER_LAST was pleased to hear that he didn't seem to have any nerves in his NBA debut.
"('CHO', 'fg3', '7')","Charlotte was 7 of 23 from 3 point range, but their baskets came in clutch situations."
"('Antetokounmpo,Giannis', 'pts', '31')","PLAYER_FIRST PLAYER_LAST led the Bucks with STAT points, nine rebounds and five assists."
"('Antetokounmpo,Giannis', 'trb', '9')",PLAYER_FIRST PLAYER_LAST led the Bucks with 31 STAT rebounds and five assists.
"('Antetokounmpo,Giannis', 'ast', '5')",PLAYER_FIRST PLAYER_LAST led the Bucks with 31 nine rebounds and STAT assists.
"('Brogdon,Malcolm', 'fg3', '0')","Bucks: PLAYER_FIRST PLAYER_LAST played well in his NBA debut, serving as the point guard when Antetokounmpo and Matthew Dellavedova were off the court."
"('MIL', 'fg3', '3')",Milwaukee was just 1 of 9 from behind the 3 point arc in the first half.
"('Williams,Marvin', 'pts', '13')","PLAYER_LAST finished with STAT points and _STAT_ rebounds for Charlotte, a playoff team a year ago following a 48 win season."
"('Williams,Marvin', 'trb', '10')","PLAYER_LAST finished with STAT rebounds for Charlotte, a playoff team a year ago following a 48 win season."
"('Hibbert,Roy', 'fg', '6')","With PLAYER_LAST anchoring the middle defensively, Clifford likes the length and versatility provided by Batum and the STAT 7 Kidd Gilchrist."
"('Williams,Marvin', 'fg3', '3')","But the Hornets held on down the stretch, getting a straightaway STAT from PLAYER_FIRST PLAYER_LAST for a 12 point lead with 3:21 left."
"('Brogdon,Malcolm', 'pts', '8')","Brogdon, a second round draft pick, finished with STAT points and five assists in 21 minutes."
"('Brogdon,Malcolm', 'ast', '5')","Brogdon, a second round draft pick, finished with eight STAT assists in 21 minutes."
"('MIL', 'fg3', '3')",Milwaukee finished 3 of 16 from behind the arc.
"('Hibbert,Roy', 'fg3', '0')",The 7 foot 2 PLAYER_LAST had a couple of rim rocking dunks in the third quarter that helped build the 20 point lead.
"('Walker,Kemba', 'ast', '8')","PLAYER_FIRST PLAYER_LAST finished with STAT assists, six coming in the first half."
"('LaVine,Zach', 'pts', '19')","PLAYER_FIRST Randolph, in his new role as a reserve, had STAT points and 11 rebounds."
"('LaVine,Zach', 'pts', '19')",PLAYER_FIRST PLAYER_LAST added STAT points.
"('Randolph,Zach', 'pts', '19')","PLAYER_FIRST Randolph, in his new role as a reserve, had STAT points and 11 rebounds."
"('Randolph,Zach', 'trb', '11')","PLAYER_FIRST Randolph, in his new role as a reserve, had STAT rebounds."
"('Dunn,Kris', 'fg', '4')","Rookie PLAYER_FIRST Dunn, the fifth overall pick, made his NBA debut near the STAT minute mark of the first quarter."
"('Gasol,Marc', 'pts', '18')", Mike Conley scored _STAT_ points and PLAYER_FIRST PLAYER_LAST added STAT to lead the Grizzlies in the season opener for both teams.
"('Conley,Mike', 'pts', '24')", PLAYER_FIRST PLAYER_LAST scored STAT points and Marc Gasol added 18 to lead the Grizzlies in the season opener for both teams.
"('Randolph,Zach', 'pts', '19')",PLAYER_FIRST LaVine added STAT points.
"('Wiggins,Andrew', 'pts', '25')","PLAYER_FIRST PLAYER_LAST led the Timberwolves with STAT points, while Karl Anthony Towns finished with 21."
"('Davis,Anthony', 'pts', '50')","Denver did the latter, and PLAYER_LAST wound up with STAT points, 16 rebounds, seven steals, five assists and four blocks."
"('Davis,Anthony', 'ast', '5')","Denver did the latter, and PLAYER_LAST wound up with 50 16 rebounds, seven steals, STAT assists and four blocks."
"('Davis,Anthony', 'stl', '5')","Denver did the latter, and PLAYER_LAST wound up with 50 16 rebounds, seven steals, STAT assists and four blocks."
"('Davis,Anthony', 'blk', '4')","Denver did the latter, and PLAYER_LAST wound up with 50 16 rebounds, seven steals, five assists and STAT blocks."
"('Frazier,Tim', 'pts', '15')",PLAYER_FIRST PLAYER_LAST scored STAT for the Pelicans.
"('Davis,Anthony', 'fg', '17')",PLAYER_LAST shot STAT of 34; the rest of the Pelicans combined to shoot 21 of 58.
"('DEN', 'stl', '7')","Denver did the latter, and Davis wound up with 50 16 rebounds, seven steals, five assists and four blocks."
"('DEN', 'blk', '4')","Denver did the latter, and Davis wound up with 50 16 rebounds, seven steals, five assists and four blocks."
"('NOP', 'fg3', '3')",The Pelicans made only 3 of 19.
"('Embiid,Joel', 'pts', '20')",PLAYER_LAST scored STAT points in 22 minutes in his first game since the Sixers made him the No.
"('Chriss,Marquese', 'fg', '3')",Bender hit his second STAT pointer of the quarter and PLAYER_LAST scored inside to slice it to 86 76 with 9:07 to play.
"('McLemore,Ben', 'fg', '3')","KIDS CORPS When Bender entered the game in the third quarter, Phoenix became the first team to have STAT teenagers appear in a game."
"('Bledsoe,Eric', 'pts', '16')",PLAYER_FIRST PLAYER_LAST added STAT and T.J.
"('Booker,Devin', 'pts', '18')"," PLAYER_FIRST Booker, plagued by foul trouble, scored STAT points for the Suns."
"('Tolliver,Anthony', 'pts', '6')",PLAYER_FIRST PLAYER_LAST made a STAT foot floater to open the second quarter to make it an 18 1 run and a 32 19 lead.
"('Bender,Dragan', 'pts', '10')","PLAYER_FIRST Bender, the 18 year old fourth overall pick in this year's draft, scored STAT points for Phoenix, all in the second half."
"('McLemore,Ben', 'fg', '3')",Bender hit his second STAT pointer of the quarter and Chriss scored inside to slice it to 86 76 with 9:07 to play.
"('LAL', 'fg3', '12')","Timofey Mozgov had eight rebounds, and Luol Deng had seven in solid Lakers debuts for the veteran free agents."
"('Ingram,Brandon', 'pts', '9')", FIRST TIMES PLAYER_FIRST PLAYER_LAST scored STAT points in the No.
"('Deng,Luol', 'pts', '7')","Timofey Mozgov had _STAT_ points and eight rebounds, and PLAYER_FIRST PLAYER_LAST had STAT points in solid Lakers debuts for the veteran free agents."
"('Mozgov,Timofey', 'pts', '12')","PLAYER_FIRST PLAYER_LAST had STAT points and eight rebounds, and Luol Deng had seven points in solid Lakers debuts for the veteran free agents."
"('Mozgov,Timofey', 'trb', '8')","PLAYER_FIRST PLAYER_LAST had STAT rebounds, and Luol Deng had seven in solid Lakers debuts for the veteran free agents."
"('Gordon,Eric', 'pts', '19')", TIP INS Rockets: PLAYER_FIRST PLAYER_LAST scored STAT points.
"('Capela,Clint', 'trb', '9')","PLAYER_FIRST Capela, the 6 foot STAT Swiss forward, replaced Dwight Howard in the middle of the lineup with STAT rebounds."
"('Capela,Clint', 'pts', '16')","PLAYER_FIRST Capela, the 6 foot 9 Swiss forward, replaced Dwight Howard in the middle of the lineup with STAT points and nine rebounds."
"('Capela,Clint', 'trb', '9')","PLAYER_FIRST Capela, the 6 foot STAT Swiss forward, replaced Dwight Howard in the middle of the lineup with STAT rebounds."
"('Morris,Markieff', 'pts', '22')","PLAYER_FIRST PLAYER_LAST led Washington with STAT points, but it was a tough night for the Wizards' dynamic backcourt duo."
"('ATL', 'fg3', '12')","The Hawks, who led only 81 80 heading to the final period, outscored the Wizards 33 19 over the final 12 minutes."
"('Gortat,Marcin', 'trb', '11')", TIP INS Wizards: PLAYER_FIRST PLAYER_LAST had STAT rebounds but didn't have much help.
"('Sefolosha,Thabo', 'pts', '13')","PLAYER_FIRST PLAYER_LAST was another key contributor off the bench, scoring 11 of his STAT points in the third quarter."
"('Schroder,Dennis', 'pts', '14')","PLAYER_FIRST Schroder, taking over as the starting point guard after the trade of Jeff Teague, had STAT points but only two assists."
"('Schroder,Dennis', 'fg3', '2')","PLAYER_FIRST Schroder, taking over as the starting point guard after the trade of Jeff Teague, had _STAT_ but only STAT assists."
"('Schroder,Dennis', 'ast', '2')","PLAYER_FIRST Schroder, taking over as the starting point guard after the trade of Jeff Teague, had _STAT_ but only STAT assists."
"('Howard,Dwight', 'pts', '11')","""The worst thing you can do is lay an egg in the first game,"" said Howard, who also had STAT points and three blocks."
"('Howard,Dwight', 'blk', '3')","""The worst thing you can do is lay an egg in the first game,"" said Howard, who also had STAT blocks."
"('Porter,Otto', 'pts', '10')",PLAYER_FIRST PLAYER_LAST was the only other Washington player in double figures with STAT points.
"('Butler,Jimmy', 'trb', '7')","PLAYER_LAST had STAT rebounds, and the Bulls pounded the Celtics on the glass 55 36."
"('Rondo,Rajon', 'pts', '4')","PLAYER_LAST also got into it with Isaiah Thomas, and all STAT players got called for technicals."
"('BOS', 'pts', '99')",It was 101 99 when Boston's Jaylen Brown got called for a travel.
"('Wade,Dwyane', 'fg3', '4')",PLAYER_LAST hit STAT of 6 3 pointers in this game after making just 7 of 44 all of last season.
"('Wade,Dwyane', 'fg', '7')",PLAYER_LAST hit 4 of 6 3 pointers in this game after making just STAT of 44 all of last season.
"('Rondo,Rajon', 'ast', '9')","PLAYER_FIRST Rondo, signed by Chicago after a resurgent season with Sacramento, added STAT assists."
"('Thomas,Isaiah', 'pts', '25')",PLAYER_FIRST PLAYER_LAST led Boston with STAT points.
"('Crowder,Jae', 'pts', '14')","Avery Bradley had 16, and PLAYER_FIRST PLAYER_LAST STAT points, but the Celtics came up short after opening with a win over Brooklyn the previous night."
"('CHI', 'trb', '55')","Butler had seven rebounds, and the Bulls pounded the Celtics on the glass 55 36."
"('Cousins,DeMarcus', 'pts', '37')","It didn't end as well despite a strong night from PLAYER_FIRST Cousins, who led Sacramento with STAT points and 16 rebounds."
"('Cousins,DeMarcus', 'trb', '16')","It didn't end as well despite a strong night from PLAYER_FIRST Cousins, who led Sacramento with STAT rebounds."
"('Aldridge,LaMarcus', 'pts', '16')",PLAYER_FIRST PLAYER_LAST scored STAT for San Antonio and reserves David Lee and Dewayne Dedmon added 12 apiece.
"('Lee,David', 'pts', '12')",LaMarcus Aldridge scored 16 for San Antonio and reserves PLAYER_FIRST PLAYER_LAST and Dewayne Dedmon added STAT apiece.
"('McLemore,Ben', 'fg', '3')",    Kawhi Leonard ripped the ball away from PLAYER_FIRST PLAYER_LAST and drove the other way for a STAT point play.
"('McLemore,Ben', 'fg3', '0')",    Kawhi Leonard ripped the ball away from PLAYER_FIRST PLAYER_LAST and drove the other way for a three point play.
"('Tolliver,Anthony', 'pts', '2')",Kings: Host Minnesota on Saturday in a matchup of STAT of the league's top big men in Cousins and Karl PLAYER_FIRST Towns.
"('Gay,Rudy', 'pts', '17')",Kings: PLAYER_FIRST PLAYER_LAST had STAT points but shot just 3 for 10.
"('Gay,Rudy', 'fg', '3')",Kings: PLAYER_FIRST PLAYER_LAST had _STAT_ but shot just STAT for 10.
"('Dedmon,Dewayne', 'pts', '12')",LaMarcus Aldridge scored 16 for San Antonio and reserves David Lee and PLAYER_FIRST PLAYER_LAST added STAT apiece.
"('POR', 'fg3', '4')",The Blazers made just four of 18 3 point attempts.
"('Paul,Chris', 'fg3', '3')",PLAYER_FIRST PLAYER_LAST hit a STAT pointer that gave the Clippers a 102 90 lead with 4:07 left and the crowd headed for the exits.
"('Lillard,Damian', 'pts', '29')",PLAYER_FIRST PLAYER_LAST led the Blazers against the Clippers with STAT points and _STAT_ rebounds before fouling out late.
"('Lillard,Damian', 'trb', '10')",PLAYER_FIRST PLAYER_LAST led the Blazers against the Clippers with STAT rebounds before fouling out late.
"('LAC', 'fg', '37')",Jamal Crawford hit a 3 pointer that capped a 16 0 run to put the Clippers up 37 27.
"('POR', 'fg3', '4')",The strategy worked: Portland made just four of 18 attempts from the perimeter and the Clippers came away with a 114 106 victory Thursday night.
"('POR', 'pts', '106')",The strategy worked: Portland made just four of 18 attempts from the perimeter and the Clippers came away with a 114 106 victory Thursday night.
"('Paul,Chris', 'fg3', '3')",PLAYER_LAST made a STAT to end the half and the Clippers led 58 49.
"('Crawford,Jamal', 'fg', '3')",PLAYER_FIRST PLAYER_LAST hit a STAT pointer that capped a 16 0 run to put the Clippers up 37 27.
"('LAC', 'pts', '114')",The strategy worked: Portland made just four of 18 attempts from the perimeter and the Clippers came away with a 114 106 victory Thursday night.
"('Jordan,DeAndre', 'fg', '2')","PLUMLEE'S GESTURE: He landed in the seats before his dustup with Jordan, startling STAT kids sitting courtside."
"('Redick,J.J.', 'fg', '3')",PLAYER_LAST made a STAT pointer that put Los Angeles ahead 98 89.
"('POR', 'fg', '39')",Trail Blazers: Lillard opened the season with _STAT_ against the Jazz.
"('CLE', 'fg3', '12')","However, DeRozan was concerned with the second quarter, where Toronto allowed Cleveland to go on a 12 2 run that opened the game up."
"('Irving,Kyrie', 'fg3', '5')",PLAYER_LAST was STAT for 9 from beyond the arc and dismissed comparisons from reporters to his winning 3 in the Finals.
"('TOR', 'fg3', '4')","Toronto won the regular season series against the Cavaliers last year, taking three out of four games."
"('CLE', 'pts', '94')"," seconds remaining, lifting the Cleveland Cavaliers over the DeMar DeRozan and Toronto Raptors 94 91 in a rematch of last season's Eastern Conference finals."
"('James,LeBron', 'fg', '7')"," TIP INS Cavaliers: With STAT baskets, PLAYER_LAST moved past Patrick Ewing (9,702) for 15th career in field goals made."
"('TOR', 'pts', '91')"," seconds remaining, lifting the Cleveland Cavaliers over the DeMar DeRozan and Toronto Raptors 94 91 in a rematch of last season's Eastern Conference finals."
"('Young,Thaddeus', 'pts', '19')",THAD GLAD PLAYER_FIRST PLAYER_LAST scored STAT points.
"('George,Paul', 'pts', '22')","PLAYER_FIRST PLAYER_LAST had STAT points and nine rebounds for the Pacers, who were outscored 31 15 in the fourth quarter."
"('George,Paul', 'trb', '9')","PLAYER_FIRST PLAYER_LAST had STAT rebounds for the Pacers, who were outscored 31 15 in the fourth quarter."
"('Turner,Myles', 'pts', '13')","Pacers: PLAYER_FIRST Turner, who had _STAT_ points and _STAT_ rebounds in the opener, finished with STAT points and 11 boards."
"('Turner,Myles', 'trb', '11')","Pacers: PLAYER_FIRST Turner, who had _STAT_ rebounds in the opener, finished with STAT boards."
"('Udrih,Beno', 'pts', '13')",Backups Aron Baynes and PLAYER_FIRST PLAYER_LAST scored STAT points apiece.
"('Drummond,Andre', 'trb', '20')", PLAYER_LAST reached STAT rebounds for the 28th time in his career.
"('Gordon,Aaron', 'pts', '17')",PLAYER_FIRST PLAYER_LAST led the Magic with STAT points.
"('Harris,Tobias', 'pts', '18')","PLAYER_FIRST PLAYER_LAST scored STAT points for the Pistons, and Marcus Morris added 17."
"('Baynes,Aron', 'pts', '13')",Backups PLAYER_FIRST PLAYER_LAST and Beno Udrih scored STAT points apiece.
"('DET', 'fg3', '7')",The Pistons have won seven in a row against Orlando.
"('Smith,Ish', 'pts', '16')",PLAYER_FIRST PLAYER_LAST had STAT points and eight assists for Detroit on Friday.
"('Smith,Ish', 'fg', '8')",PLAYER_FIRST PLAYER_LAST had STAT assists for Detroit on Friday.
"('Smith,Ish', 'ast', '8')",PLAYER_FIRST PLAYER_LAST had STAT assists for Detroit on Friday.
"('Roberson,Andre', 'fg', '3')","Westbrook then found PLAYER_LAST open, and Roberson's STAT pointer pushed Oklahoma City's lead to 102 98 with 2:39 to play."
"('Westbrook,Russell', 'trb', '13')",PLAYER_LAST finished with STAT rebounds and _STAT_ assists and took a career high 44 shots to claim his 38th career triple double.
"('Westbrook,Russell', 'ast', '10')",PLAYER_LAST finished with _STAT_ rebounds and STAT assists and took a career high 44 shots to claim his 38th career triple double.
"('Westbrook,Russell', 'fg', '17')","PLAYER_LAST was STAT of 44 from the field, 2 of 10 from 3 point range and made 15 of _STAT_ free throws."
"('Westbrook,Russell', 'fg3', '2')","PLAYER_LAST was 17 of 44 from the field, STAT of 10 from 3 point range and made 15 of _STAT_ free throws."
"('Westbrook,Russell', 'ft', '15')","PLAYER_LAST was 17 of 44 from the field, 2 of 10 from 3 point range and made STAT of _STAT_ free throws."
"('Warren,T.J.', 'pts', '30')",PLAYER_LAST had a career high STAT points for the Suns.
"('CHO', 'pts', '97')",Walker scored _STAT_ points and the Hornets erased a 19 point deficit in the third quarter on the way to beating Miami 97 91.
"('Walker,Kemba', 'pts', '24')",PLAYER_LAST scored STAT points and the Hornets erased a 19 point deficit in the third quarter on the way to beating Miami 97 91.
"('Belinelli,Marco', 'pts', '12')",Nic Batum and PLAYER_FIRST PLAYER_LAST each scored STAT points for Charlotte.
"('Batum,Nicolas', 'pts', '12')",Nic PLAYER_LAST and Marco Belinelli each scored STAT points for Charlotte.
"('Capela,Clint', 'trb', '9')",PLAYER_FIRST PLAYER_LAST had STAT rebounds.
"('Barnes,Harrison', 'fg', '13')","Sliding over to power forward, PLAYER_LAST was strong inside and out, going STAT of 23 from the field with five rebounds."
"('Barnes,Harrison', 'trb', '5')","Sliding over to power forward, PLAYER_LAST was strong inside and out, going 13 of 23 from the field with STAT rebounds."
"('HOU', 'fg3', '15')","But the Mavericks were held to 15 of 40 (38 percent) in the second and third quarters, when Houston outscored them 53 43."
"('Barnes,Harrison', 'pts', '31')"," PLAYER_FIRST Barnes, playing his first home game for the Mavericks after signing a max contract in the summer, had a career high STAT points."
"('Williams,Deron', 'pts', '14')","PLAYER_FIRST PLAYER_LAST had STAT points, but just one in the second half."
"('Williams,Deron', 'fg3', '1')",PLAYER_FIRST PLAYER_LAST had 14 but just STAT in the second half.
"('Ariza,Trevor', 'pts', '27')","PLAYER_FIRST PLAYER_LAST scored STAT points, Harden had 26 and Houston beat Dallas 106 98 with Dirk Nowitzki missing from the Mavericks' home opener Friday night."
"('Gordon,Eric', 'pts', '18')",PLAYER_FIRST PLAYER_LAST was the other double figure scorer for Houston with STAT points.
"('HOU', 'pts', '106')","Trevor Ariza scored 27 points, Harden had 26 and Houston beat Dallas 106 98 with Dirk Nowitzki missing from the Mavericks' home opener Friday night."
"('DAL', 'pts', '98')","Trevor Ariza scored 27 points, Harden had 26 and Houston beat Dallas 106 98 with Dirk Nowitzki missing from the Mavericks' home opener Friday night."
"('Matthews,Wesley', 'pts', '13')", SHOOTING STRUGGLES Dallas' PLAYER_FIRST PLAYER_LAST scored STAT points on a second straight bad shooting night.
"('DAL', 'fg3', '8')",UP NEXT The Rockets' home opener Sunday against the Mavericks is their only home game in the first eight this season.
"('Ariza,Trevor', 'fg3', '5')","PLAYER_LAST was STAT of 7 from 3 point range, including one early in the fourth quarter to push Houston's lead back to nine points."
"('Harden,James', 'pts', '26')","Trevor Ariza scored 27 points, PLAYER_LAST had STAT and Houston beat Dallas 106 98 with Dirk Nowitzki missing from the Mavericks' home opener Friday night."
"('HOU', 'fg3', '15')",LONG RANGE SUCCESS The Rockets were 15 of 32 from 3 point range (47 percent).
"('Ingram,Brandon', 'pts', '2')",2 overall pick PLAYER_FIRST PLAYER_LAST left the game with a sore right knee in the first half and did not return.
"('Williams,Lou', 'pts', '17')",PLAYER_LAST led the Lakers with STAT points.
"('McCaw,Patrick', 'pts', '3')","PLAYER_FIRST McCaw, who hit his only shot from STAT point range, sprained his left ankle in the first half and did not return."
"('Pachulia,Zaza', 'pts', '10')",PLAYER_LAST scored STAT points.
"('Cunningham,Dante', 'pts', '15')",Lance Stephenson and PLAYER_FIRST PLAYER_LAST each scored STAT points.
"('Stephenson,Lance', 'pts', '15')",PLAYER_FIRST PLAYER_LAST and Dante Cunningham each scored STAT points.
"('Frazier,Tim', 'pts', '21')",PLAYER_FIRST PLAYER_LAST scored a career high STAT points and added _STAT_ assists for New Orleans.
"('Frazier,Tim', 'fg', '10')",PLAYER_FIRST PLAYER_LAST scored a career high added STAT assists for New Orleans.
"('Frazier,Tim', 'ast', '10')",PLAYER_FIRST PLAYER_LAST scored a career high added STAT assists for New Orleans.
"('Pachulia,Zaza', 'trb', '11')",Green and PLAYER_FIRST PLAYER_LAST each grabbed STAT rebounds.
"('Green,Draymond', 'trb', '11')",PLAYER_LAST and Zaza Pachulia each grabbed STAT rebounds.
"('Hield,Buddy', 'fg', '1')","Sixth overall draft choice PLAYER_FIRST PLAYER_LAST played 17 minutes and once again had a quiet game offensively, hitting STAT of 6 shots for two points."
"('Hield,Buddy', 'pts', '2')","Sixth overall draft choice PLAYER_FIRST PLAYER_LAST played 17 minutes and once again had a quiet game offensively, hitting 1 of 6 shots for STAT points."
"('Curry,Stephen', 'fg3', '4')","MAKING HISTORY PLAYER_LAST hit STAT 3 pointers to reach 1,600 for his career."
"('Millsap,Paul', 'pts', '17')",PLAYER_FIRST PLAYER_LAST scored STAT points to lead five Hawks in double figures and Atlanta toppled the Philadelphia 76ers 104 72 on Saturday.
"('Rodriguez,Sergio', 'pts', '14')",Joel Embiid and PLAYER_FIRST PLAYER_LAST had STAT points apiece for the 76ers.
"('Schroder,Dennis', 'pts', '11')","After getting two assists in the opener, PLAYER_LAST had STAT to go with STAT points against Philadelphia."
"('Schroder,Dennis', 'ast', '11')","After getting two assists in the opener, PLAYER_LAST had STAT to go with STAT against Philadelphia."
"('Schroder,Dennis', 'pts', '11')","After getting two assists in the opener, PLAYER_LAST had STAT to go with STAT points against Philadelphia."
"('Schroder,Dennis', 'ast', '11')","After getting two assists in the opener, PLAYER_LAST had STAT to go with STAT against Philadelphia."
"('ATL', 'fg3', '5')",Paul Millsap scored _STAT_ to lead five Hawks in double figures and Atlanta toppled the Philadelphia 76ers 104 72 on Saturday.
"('ATL', 'pts', '104')",Paul Millsap scored _STAT_ points to lead five Hawks in double figures and Atlanta toppled the Philadelphia 76ers 104 72 on Saturday.
"('Muscala,Mike', 'pts', '14')",Kyle Korver added _STAT_ points and PLAYER_FIRST PLAYER_LAST added STAT for Atlanta.
