event,sentence
"('Beal,Bradley', 'pts', '24')","PLAYER_FIRST PLAYER_LAST led the Wizards with STAT points, followed by Wall with _STAT_ points and five blocks."
"('WAS', 'ft', '15')",The Wizards survived despite going just 15 of 25 from the free throw line.
"('ORL', 'orb', '17')",Victor Oladipo led the Magic with 11 rebounds.
"('ORL', 'pts', '87')", seconds to play and the Washington Wizards rallied to defeat the Orlando Magic 88 87 Wednesday night in the season opener for both teams.
"('Wall,John', 'pts', '22')","Bradley Beal led the Wizards with 24 points, followed by PLAYER_LAST with STAT points and five blocks."
"('Wall,John', 'blk', '5')",Bradley Beal led the Wizards with 24 followed by PLAYER_LAST with STAT blocks.
"('Sullinger,Jared', 'trb', '7')","Reserves Amir Johnson added STAT rebounds, and PLAYER_FIRST PLAYER_LAST had STAT boards."
"('Sullinger,Jared', 'pts', '12')","Reserves Amir Johnson added _STAT_ points and seven rebounds, and PLAYER_FIRST PLAYER_LAST had STAT points and seven boards."
"('Sullinger,Jared', 'trb', '7')","Reserves Amir Johnson added STAT rebounds, and PLAYER_FIRST PLAYER_LAST had STAT boards."
"('Thomas,Isaiah', 'fg', '10')","I have confidence in myself and my teammates do, too,"" said Thomas, who finished STAT of 19 from the floor."
"('Thompson,Hollis', 'fg', '3')","Philadelphia trailed by 11 at the break, but closed to 72 67 on PLAYER_FIRST Thompson's STAT pointer from the left corner."
"('Thompson,Hollis', 'fg3', '3')","Philadelphia trailed by 11 at the break, but closed to 72 67 on PLAYER_FIRST Thompson's STAT pointer from the left corner."
"('Canaan,Isaiah', 'pts', '18')","Nerlens Noel had _STAT_ points and 12 rebounds, and PLAYER_FIRST PLAYER_LAST scored STAT points."
"('Sullinger,Jared', 'pts', '12')","An afterthought during the preseason, big man PLAYER_FIRST PLAYER_LAST has STAT points and seven rebounds in 21 minutes of work on opening night."
"('Sullinger,Jared', 'trb', '7')","An afterthought during the preseason, big man PLAYER_FIRST PLAYER_LAST has STAT rebounds in 21 minutes of work on opening night."
"('Johnson,Amir', 'pts', '15')","Reserves PLAYER_FIRST PLAYER_LAST added STAT points and seven rebounds, and Jared Sullinger had _STAT_ points and seven boards."
"('Johnson,Amir', 'trb', '7')","Reserves PLAYER_FIRST PLAYER_LAST added STAT rebounds, and Jared Sullinger had STAT boards."
"('Johnson,Amir', 'trb', '7')","Reserves PLAYER_FIRST PLAYER_LAST added STAT rebounds, and Jared Sullinger had STAT boards."
"('Noel,Nerlens', 'pts', '14')","PLAYER_FIRST PLAYER_LAST had STAT points and 12 rebounds, and Isaiah Canaan scored 18 points."
"('Smart,Marcus', 'fg', '3')","PLAYER_LAST hit a STAT at the buzzer, giving Boston a 51 40 halftime edge."
"('Smart,Marcus', 'fg3', '3')","PLAYER_LAST hit a STAT at the buzzer, giving Boston a 51 40 halftime edge."
"('Okafor,Jahlil', 'pts', '26')","PLAYER_FIRST Okafor, the third overall pick in this year's draft, led the 76ers with STAT points."
"('Okafor,Jahlil', 'fg3', '0')"," Boston recovered from an early nine point hole, triggered by a solid start from Okafor, who connected on his first five shots."
"('Lopez,Brook', 'pts', '26')", PLAYER_FIRST PLAYER_LAST had STAT points and Andrea Bargnani had 17.
"('BRK', 'fg3', '0')",The Nets opened their 40th season in the NBA by falling into a quick 7 0 hole and trailing the rest of the way.
"('Jackson,Reggie', 'pts', '19')", PLAYER_LAST had STAT points and Caldwell Pope added 16.
"('Drummond,Andre', 'fg3', '0')","00 for the first time in more than six years, and the most encouraging sign may be PLAYER_FIRST Drummond's free throws."
"('Hood,Rodney', 'fg3', '0')","OFF THE MARK PLAYER_LAST missed all seven of his 3 point attempts, and the Jazz were 2 of 12 as a team."
"('Hood,Rodney', 'pts', '12')","OFF THE MARK PLAYER_LAST missed all seven of his 3 point attempts, and the Jazz were 2 of STAT as a team."
"('UTA', 'fg3', '2')","OFF THE MARK Hood missed all seven of his 3 point attempts, and the Jazz were 2 of 12 as a team."
"('Johnson,Stanley', 'pts', '11')",Rookie PLAYER_FIRST PLAYER_LAST had STAT points and five rebounds.
"('Johnson,Stanley', 'trb', '5')",Rookie PLAYER_FIRST PLAYER_LAST had STAT rebounds.
"('Favors,Derrick', 'pts', '26')","PLAYER_FIRST PLAYER_LAST led Utah with STAT points, and Burks finished with 18."
"('Hood,Rodney', 'fg3', '0')",PLAYER_FIRST PLAYER_LAST then had a tying 3 point attempt blocked by Caldwell Pope.
"('Drummond,Andre', 'fg', '5')","Drummond, who shot 39 percent on free throws last season, made two with 4:42 remaining to give the Pistons a STAT point lead."
"('Drummond,Andre', 'fg3', '0')","Drummond, who shot 39 percent on free throws last season, made two with 4:42 remaining to give the Pistons a five point lead."
"('Morris,Marcus', 'pts', '14')",PLAYER_FIRST PLAYER_LAST scored STAT for the Pistons.
"('Lin,Jeremy', 'pts', '17')","Kemba Walker led the Hornets with 19 points, PLAYER_FIRST PLAYER_LAST scored STAT and Marvin Williams had _STAT_ points and _STAT_ rebounds."
"('MIA', 'fg3', '12')", seconds left helped seal the win and cap a 12 for 20 night for Miami from behind the arc.
"('Jefferson,Al', 'pts', '17')"," TIP INS Hornets: PLAYER_LAST topped STAT first half points only twice last season, scoring 18 before halftime on Dec."
"('Walker,Kemba', 'pts', '19')","PLAYER_FIRST PLAYER_LAST led the Hornets with STAT points, Jeremy Lin scored 17 and Marvin Williams had _STAT_ points and _STAT_ rebounds."
"('Williams,Marvin', 'pts', '10')","Kemba Walker led the Hornets with 19 points, Jeremy Lin scored 17 and PLAYER_FIRST PLAYER_LAST had STAT points and STAT rebounds."
"('Williams,Marvin', 'trb', '10')",Kemba Walker led the Hornets with 19 Jeremy Lin scored 17 and PLAYER_FIRST PLAYER_LAST had STAT STAT rebounds.
"('Williams,Marvin', 'pts', '10')","Kemba Walker led the Hornets with 19 points, Jeremy Lin scored 17 and PLAYER_FIRST PLAYER_LAST had STAT points and STAT rebounds."
"('Williams,Marvin', 'trb', '10')",Kemba Walker led the Hornets with 19 Jeremy Lin scored 17 and PLAYER_FIRST PLAYER_LAST had STAT STAT rebounds.
"('Lowry,Kyle', 'pts', '23')","Jonas Valanciunas had _STAT_ points and _STAT_ rebounds for Toronto, and PLAYER_FIRST PLAYER_LAST scored STAT points."
"('TOR', 'fg3', '7')",Raptors: Toronto went 7 for 15 at the free throw line in the first half.
"('Hill,George', 'pts', '19')"," PLAYER_FIRST PLAYER_LAST scored STAT points for the Pacers, who led by 16 in the second quarter but couldn't hold on."
"('TOR', 'fg3', '7')",BEYOND BORDERS Toronto's seven international players are the most in the NBA.
"('Carroll,DeMarre', 'pts', '14')",PLAYER_FIRST PLAYER_LAST had STAT in his Raptors debut.
"('Valanciunas,Jonas', 'pts', '21')","PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds for Toronto, and Kyle Lowry scored 23 points."
"('Valanciunas,Jonas', 'trb', '15')","PLAYER_FIRST PLAYER_LAST had STAT rebounds for Toronto, and Kyle Lowry scored 23 points."
"('Lawson,Ty', 'fg3', '2')",The Rockets got within STAT after consecutive 3s by Patrick Beverley and PLAYER_LAST early in the second quarter.
"('HOU', 'fg', '30')",The Nuggets were 30 52 last season and Houston is coming off a trip to the Western Conference finals.
"('HOU', 'fg3', '8')",Houston rookie Montrezl Harrell had eight points.
"('HOU', 'tov', '16')",The Nuggets scored _STAT_ off _STAT_ turnovers by Houston.
"('Harrell,Montrezl', 'pts', '8')",Houston rookie PLAYER_FIRST PLAYER_LAST had STAT points.
"('Capela,Clint', 'pts', '9')", FILLING IN FOR HOWARD PLAYER_FIRST PLAYER_LAST got his first NBA start in place of Howard and had STAT points and seven rebounds.
"('Capela,Clint', 'trb', '7')", FILLING IN FOR HOWARD PLAYER_FIRST PLAYER_LAST got his first NBA start in place of Howard and had nine STAT rebounds.
"('Beverley,Patrick', 'fg3', '2')",The Rockets got within STAT after consecutive 3s by PLAYER_FIRST PLAYER_LAST and Lawson early in the second quarter.
"('Harden,James', 'pts', '22')","PLAYER_FIRST PLAYER_LAST led Houston with STAT points, but made just 6 of 21 shots and was 2 of 12 from 3 point range."
"('Harden,James', 'fg', '6')",PLAYER_FIRST PLAYER_LAST led Houston with 22 but made just STAT of 21 shots and was 2 of 12 from 3 point range.
"('Harden,James', 'fg3', '2')",PLAYER_FIRST PLAYER_LAST led Houston with 22 but made just 6 of 21 shots and was STAT of 12 from 3 point range.
"('Green,Jeff', 'fg', '3')","Jefferson was five of six, including all STAT STAT point tries, part of Cleveland shooting 45 percent from beyond the arc."
"('Green,Jeff', 'fg', '3')","Jefferson was five of six, including all STAT STAT point tries, part of Cleveland shooting 45 percent from beyond the arc."
"('Randolph,Zach', 'pts', '12')",PLAYER_FIRST PLAYER_LAST and Marc Gasol led the Grizzlies with STAT points apiece.
"('Cunningham,Jared', 'pts', '12')"," LeBron James, PLAYER_FIRST PLAYER_LAST and Matthew Dellavedova had STAT points each, with James 4 of 13 from the field."
"('Cunningham,Jared', 'fg', '4')"," LeBron James, PLAYER_FIRST PLAYER_LAST and Matthew Dellavedova had _STAT_ each, with James STAT of 13 from the field."
"('Dellavedova,Matthew', 'pts', '12')"," LeBron James, Jared Cunningham and PLAYER_FIRST PLAYER_LAST had STAT points each, with James 4 of 13 from the field."
"('MEM', 'fg3', '2')",The Cavaliers swept last season's two games against Memphis by an average margin of 18 points.
"('Jefferson,Richard', 'fg', '5')","PLAYER_LAST was STAT of six, including all three 3 point tries, part of Cleveland shooting 45 percent from beyond the arc."
"('Jefferson,Richard', 'fg3', '3')","PLAYER_LAST was five of six, including all STAT STAT point tries, part of Cleveland shooting 45 percent from beyond the arc."
"('Jefferson,Richard', 'fg3', '3')","PLAYER_LAST was five of six, including all STAT STAT point tries, part of Cleveland shooting 45 percent from beyond the arc."
"('Gasol,Marc', 'pts', '12')",Zach Randolph and PLAYER_FIRST PLAYER_LAST led the Grizzlies with STAT points apiece.
"('James,LeBron', 'pts', '12')"," PLAYER_FIRST James, Jared Cunningham and Matthew Dellavedova had STAT points each, with PLAYER_LAST 4 of 13 from the field."
"('James,LeBron', 'fg', '4')"," PLAYER_FIRST James, Jared Cunningham and Matthew Dellavedova had _STAT_ each, with PLAYER_LAST STAT of 13 from the field."
"('Galloway,Langston', 'pts', '16')","PLAYER_LAST finished with STAT points, and joined Williams in a productive night for the Knicks' reserves."
"('Anthony,Carmelo', 'pts', '11')", And the runaway win came with PLAYER_LAST scoring just STAT points on 4 of 16 shooting.
"('Anthony,Carmelo', 'fg', '4')", And the runaway win came with PLAYER_LAST scoring just _STAT_ on STAT of 16 shooting.
"('Carter-Williams,Michael', 'fg3', '0')","Point guard PLAYER_FIRST Carter Williams scored 20 but had six turnovers, all after the first quarter."
"('Carter-Williams,Michael', 'pts', '20')","Point guard PLAYER_FIRST Carter Williams scored STAT points, but had six turnovers, all after the first quarter."
"('Carter-Williams,Michael', 'fg', '6')","Point guard PLAYER_FIRST Carter Williams scored 20 but had STAT turnovers, all after the first quarter."
"('Carter-Williams,Michael', 'tov', '6')","Point guard PLAYER_FIRST Carter Williams scored 20 but had STAT turnovers, all after the first quarter."
"('Monroe,Greg', 'pts', '22')",PLAYER_FIRST PLAYER_LAST led the Bucks with STAT points and 14 rebounds.
"('Monroe,Greg', 'trb', '14')",PLAYER_FIRST PLAYER_LAST led the Bucks with STAT rebounds.
"('Porzingis,Kristaps', 'fg', '3')",The 7 foot STAT PLAYER_LAST was STAT of 11 from the field and 9 of 12 from the line.
"('Porzingis,Kristaps', 'fg', '3')",The 7 foot STAT PLAYER_LAST was STAT of 11 from the field and 9 of 12 from the line.
"('Leonard,Kawhi', 'pts', '32')","Despite a career night in which he scored STAT points and held down Kevin Durant, the Spurs' PLAYER_FIRST PLAYER_LAST was disappointed by the loss."
"('Westbrook,Russell', 'fg3', '3')",PLAYER_LAST found Durant for a STAT pointer with just more than four minutes remaining to put the Thunder up 99 97.
"('Duncan,Tim', 'pts', '8')",PLAYER_FIRST PLAYER_LAST finished with STAT points and six rebounds in 25 minutes.
"('Duncan,Tim', 'trb', '6')",PLAYER_FIRST PLAYER_LAST finished with eight STAT rebounds in 25 minutes.
"('Durant,Kevin', 'fg', '6')", PLAYER_LAST made just STAT of _STAT_ field goals but hit two critical free throws with 11.5 seconds remaining to put the Thunder in control.
"('Durant,Kevin', 'fg3', '2')", PLAYER_LAST made just six of _STAT_ field goals but hit STAT critical free throws with 11.5 seconds remaining to put the Thunder in control.
"('Aldridge,LaMarcus', 'pts', '11')",PLAYER_FIRST PLAYER_LAST had STAT points and five rebounds in his debut with San Antonio after nine years with the Portland Trail Blazers.
"('Aldridge,LaMarcus', 'trb', '5')",PLAYER_FIRST PLAYER_LAST had STAT rebounds in his debut with San Antonio after nine years with the Portland Trail Blazers.
"('Westbrook,Russell', 'fg', '12')",PLAYER_LAST scored STAT in the first quarter and 19 in the first half.
"('SAS', 'fg3', '5')",LaMarcus Aldridge had five rebounds in his debut with San Antonio after nine years with the Portland Trail Blazers.
"('Leonard,Kawhi', 'pts', '32')",PLAYER_FIRST PLAYER_LAST scored a career high STAT points and grabbed eight rebounds for the Spurs.
"('Leonard,Kawhi', 'trb', '8')",PLAYER_FIRST PLAYER_LAST scored a career high grabbed STAT rebounds for the Spurs.
"('Ibaka,Serge', 'pts', '10')","STAT LINES Ibaka, who missed the final month of last season after knee surgery, finished with STAT points and five rebounds."
"('Ibaka,Serge', 'trb', '5')","STAT LINES Ibaka, who missed the final month of last season after knee surgery, finished with STAT rebounds."
"('Kanter,Enes', 'pts', '15')",PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds off the bench for the Thunder.
"('Kanter,Enes', 'trb', '16')",PLAYER_FIRST PLAYER_LAST had STAT rebounds off the bench for the Thunder.
"('Parker,Tony', 'pts', '10')",Manu Ginobili scored _STAT_ points and PLAYER_FIRST PLAYER_LAST added STAT for San Antonio.
"('Ginobili,Manu', 'pts', '11')",PLAYER_FIRST PLAYER_LAST scored STAT points and Tony Parker added 10 for San Antonio.
"('Westbrook,Russell', 'fg3', '3')",A STAT pointer by PLAYER_LAST with 54.2 seconds to play put Oklahoma City up by five.
"('Durant,Kevin', 'pts', '22')",PLAYER_FIRST PLAYER_LAST missed most of last season with a broken right foot and scored STAT points in his first regular season game since February.
"('Adams,Steven', 'fg', '3')","Danny Green's wild, off balance STAT pointer was blocked by PLAYER_FIRST Adams, and the Thunder gained possession."
"('PHO', 'pts', '95')",Raymond Felton scored _STAT_ points to lead eight Dallas players in double figures and the Mavericks rolled past the Suns 111 95 on Wednesday night.
"('DAL', 'pts', '111')",Raymond Felton scored _STAT_ points to lead eight Dallas players in double figures and the Mavericks rolled past the Suns 111 95 on Wednesday night.
"('PHO', 'fg3', '6')",The Suns made 6 of 24 3s.
"('Williams,Deron', 'pts', '12')",PLAYER_FIRST PLAYER_LAST and Dwight Powell scored STAT apiece for the Mavs.
"('Felton,Raymond', 'fg', '7')",Dallas scored the next STAT with Felton's 3 pointer putting the Mavericks comfortably back on top 99 78 with 6:54 to go.
"('Nowitzki,Dirk', 'pts', '11')","PLAYER_FIRST Nowitzki, in his 17th NBA season, scored nine of his STAT points in the third quarter when the Mavericks built a 27 point lead."
"('Felton,Raymond', 'pts', '18')",PLAYER_FIRST PLAYER_LAST scored STAT points to lead eight Dallas players in double figures and the Mavericks rolled past the Suns 111 95 on Wednesday night.
"('Bledsoe,Eric', 'fg3', '0')","Bledsoe's three point play, followed by a 13 foot jumper, cut it to 92 78 with 8:06 left."
"('Bledsoe,Eric', 'pts', '13')","Bledsoe's three point play, followed by a STAT foot jumper, cut it to 92 78 with 8:06 left."
"('PHO', 'fg3', '6')","Rookie Devin Booker scored _STAT_ on 6 of 7 shooting for the Suns, all in the second half."
"('Villanueva,Charlie', 'pts', '10')",All STAT of Villanueva's points came in the first half.
"('PHO', 'fg3', '6')",He led Phoenix to the Western Conference finals three times in six years.
"('Knight,Brandon', 'fg', '6')",PLAYER_LAST had STAT turnovers.
"('Knight,Brandon', 'tov', '6')",PLAYER_LAST had STAT turnovers.
"('Powell,Dwight', 'pts', '12')",Deron Williams and PLAYER_FIRST PLAYER_LAST scored STAT apiece for the Mavs.
"('Goodwin,Archie', 'fg', '3')",The Suns' PLAYER_FIRST PLAYER_LAST made a STAT pointer to tie it 41 41 4:04 before the break.
"('Bledsoe,Eric', 'pts', '13')","Brandon Knight had 15 points, Jon Leuer 14 and PLAYER_FIRST PLAYER_LAST STAT for Phoenix."
"('Booker,Devin', 'pts', '14')","Rookie PLAYER_FIRST PLAYER_LAST scored STAT points on 6 of 7 shooting for the Suns, all in the second half."
"('Booker,Devin', 'fg', '6')","Rookie PLAYER_FIRST PLAYER_LAST scored _STAT_ on STAT of 7 shooting for the Suns, all in the second half."
"('Leuer,Jon', 'pts', '14')","Brandon Knight had 15 points, PLAYER_FIRST PLAYER_LAST STAT and Eric Bledsoe 13 for Phoenix."
"('Knight,Brandon', 'pts', '15')","PLAYER_FIRST PLAYER_LAST had STAT points, Jon Leuer 14 and Eric Bledsoe 13 for Phoenix."
"('Lillard,Damian', 'pts', '21')"," PLAYER_FIRST Lillard, Portland's only remaining starter from last season, had STAT points and 11 assists."
"('Lillard,Damian', 'ast', '11')"," PLAYER_FIRST Lillard, Portland's only remaining starter from last season, had STAT assists."
"('Gordon,Eric', 'pts', '20')",PLAYER_FIRST PLAYER_LAST finished with STAT points.
"('Davis,Anthony', 'pts', '25')","PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds for the Pelicans, who lost 111 95 at Golden State in their opener on Tuesday night."
"('Davis,Anthony', 'fg', '10')","PLAYER_FIRST PLAYER_LAST had STAT rebounds for the Pelicans, who lost 111 95 at Golden State in their opener on Tuesday night."
"('Davis,Anthony', 'trb', '10')","PLAYER_FIRST PLAYER_LAST had STAT rebounds for the Pelicans, who lost 111 95 at Golden State in their opener on Tuesday night."
"('Lillard,Damian', 'ast', '11')","Lillard's STAT assists gave him 1,506 for his career; A Blazer hasn't reached the milestone as quickly since Terry Porter."
"('Davis,Anthony', 'fg3', '3')","Davis, who averaged 24.4 last season, had STAT STAT pointers."
"('Davis,Anthony', 'fg3', '3')","Davis, who averaged 24.4 last season, had STAT STAT pointers."
"('Stephenson,Lance', 'fg', '3')",TIP INS Clippers: PLAYER_FIRST PLAYER_LAST made a STAT on his first possession with Los Angeles.
"('Griffin,Blake', 'pts', '33')", PLAYER_FIRST PLAYER_LAST led the way with STAT points and Paul added _STAT_ points and 11 assists.
"('LAC', 'fg3', '6')",The Kings have lost six straight home games against the Clippers.
"('Cousins,DeMarcus', 'fg3', '4')",PLAYER_LAST had hit only STAT 3s in his previous 167 games total and had never hit more than STAT in an entire season.
"('Cousins,DeMarcus', 'fg3', '4')",PLAYER_LAST had hit only STAT 3s in his previous 167 games total and had never hit more than STAT in an entire season.
"('Cousins,DeMarcus', 'tov', '8')",PLAYER_LAST had STAT turnovers himself.
"('Paul,Chris', 'fg3', '1')","""When you put me and PLAYER_LAST in that STAT three pick and roll they have to make a choice."
"('Pierce,Paul', 'fg3', '1')","""When you put me and PLAYER_FIRST in that STAT three pick and roll they have to make a choice."
"('Jordan,DeAndre', 'fg', '4')", UP NEXT Clippers: Host Dallas on Thursday less than STAT months after PLAYER_LAST snubbed the Mavericks in free agency.
"('Cousins,DeMarcus', 'fg3', '4')","THREE FOR ALL PLAYER_LAST added a new wrinkle to his game, making STAT of five 3 pointers."
"('Paul,Chris', 'pts', '18')", Blake Griffin led the way with _STAT_ points and PLAYER_LAST added STAT points and 11 assists.
"('Paul,Chris', 'ast', '11')", Blake Griffin led the way with PLAYER_LAST added STAT assists.
"('Pierce,Paul', 'fg3', '1')","""This group has been together for some years, they have a good understanding of STAT another,"" PLAYER_LAST said."
"('Young,Nick', 'pts', '14')","PLAYER_FIRST PLAYER_LAST had STAT points, including a 3 pointer from 41 feet to beat the first quarter buzzer."
"('Martin,Kevin', 'pts', '23')","PLAYER_FIRST PLAYER_LAST scored STAT points for the Timberwolves three days after they lost Saunders, the longtime coach and team president who battled Hodgkin's lymphoma."
"('Randle,Julius', 'pts', '15')", JULIUS REDUX PLAYER_FIRST PLAYER_LAST returned to the Lakers' lineup with STAT points and 11 rebounds.
"('Randle,Julius', 'trb', '11')", JULIUS REDUX PLAYER_FIRST PLAYER_LAST returned to the Lakers' lineup with STAT rebounds.
"('Williams,Lou', 'pts', '21')", PLAYER_LAST scored STAT points in his first game with Los Angeles.
"('LAL', 'orb', '12')","Lakers: Roy Hibbert had _STAT_ rebounds in his first appearance with L.A., making all _STAT_ of his free throws."
"('LAL', 'pts', '111')"," Minnesota led 111 102 with 2:11 left, but the Lakers finished on a 9 1 run."
"('LAL', 'fg3', '9')"," Minnesota led 111 102 with 2:11 left, but the Lakers finished on a 9 1 run."
"('Hibbert,Roy', 'pts', '12')","Lakers: PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds in his first appearance with L.A., making all _STAT_ of his free throws."
"('Hibbert,Roy', 'ft', '10')","Lakers: PLAYER_FIRST PLAYER_LAST had STAT rebounds in his first appearance with L.A., making all STAT of his free throws."
"('Hibbert,Roy', 'trb', '10')","Lakers: PLAYER_FIRST PLAYER_LAST had STAT rebounds in his first appearance with L.A., making all STAT of his free throws."
"('Hibbert,Roy', 'ft', '10')","Lakers: PLAYER_FIRST PLAYER_LAST had STAT rebounds in his first appearance with L.A., making all STAT of his free throws."
"('Hibbert,Roy', 'trb', '10')","Lakers: PLAYER_FIRST PLAYER_LAST had STAT rebounds in his first appearance with L.A., making all STAT of his free throws."
"('Conley,Mike', 'pts', '13')","Seven players reached double figures, including PLAYER_FIRST Conley, who had STAT points and 10 assists."
"('Conley,Mike', 'ast', '10')","Seven players reached double figures, including PLAYER_FIRST Conley, who had STAT assists."
"('Lee,Courtney', 'fg3', '0')","Randolph, Conley, PLAYER_LAST and Hill, the Pacers' point guard, all played prep ball in Indiana."
"('MEM', 'stl', '12')",The Grizzlies had _STAT_ steals and 14 turnovers.
"('MEM', 'tov', '14')",The Grizzlies had _STAT_ steals and 14 turnovers.
"('Hill,Jordan', 'fg3', '0')","Randolph, Conley, Lee and Hill, the Pacers' point guard, all played prep ball in Indiana."
"('Randolph,Zach', 'fg3', '0')","Randolph, Conley, Lee and Hill, the Pacers' point guard, all played prep ball in Indiana."
"('Miles,C.J.', 'pts', '18')",PLAYER_LAST added STAT points off the bench.
"('Hill,George', 'fg', '6')",PLAYER_LAST finished with four STAT rebounds.
"('George,Paul', 'fg', '5')",PLAYER_LAST went STAT of 15 from the field against Memphis after a 4 for 17 performance in the season opener.
"('Turner,Myles', 'pts', '8')",He finished with STAT points and four rebounds on what PLAYER_LAST called a dream night.
"('Turner,Myles', 'fg', '4')",He finished with eight STAT rebounds on what PLAYER_LAST called a dream night.
"('Turner,Myles', 'trb', '4')",He finished with eight STAT rebounds on what PLAYER_LAST called a dream night.
"('Hill,Jordan', 'pts', '4')",PLAYER_LAST finished with STAT points and six rebounds.
"('Hill,Jordan', 'trb', '6')",PLAYER_LAST finished with four STAT rebounds.
"('IND', 'fg3', '12')",Indiana was 12 of 30 on 3s.
"('MEM', 'fg3', '7')",The Grizzlies shot 50 percent from the field and were a solid 7 of 16 on 3 pointers.
"('Vujacic,Sasha', 'pts', '6')","With projected starter Arron Afflalo remaining out with a strained left hamstring, PLAYER_FIRST PLAYER_LAST scored STAT points."
"('Lopez,Robin', 'pts', '18')",PLAYER_FIRST PLAYER_LAST finished with STAT points.
"('Korver,Kyle', 'pts', '15')","PLAYER_FIRST PLAYER_LAST had STAT points and Millsap added _STAT_ points and _STAT_ rebounds for Atlanta, which jumped to a 30 20 lead after 12 minutes."
"('Williams,Derrick', 'pts', '9')"," PLAYER_FIRST PLAYER_LAST was held to STAT points, a night after the former No."
"('Anthony,Carmelo', 'pts', '25')", PLAYER_FIRST PLAYER_LAST scored STAT points and was 10 for 27 from the field in his second straight poor shooting game to open the season.
"('Anthony,Carmelo', 'fg', '10')", PLAYER_FIRST PLAYER_LAST was STAT for 27 from the field in his second straight poor shooting game to open the season.
