event,sentence
"('Durant,Kevin', 'fg3', '2')"," PLAYER_LAST led the league in scoring the past STAT seasons, including averaging 27.7 last season."
"('Howard,Dwight', 'pts', '11')","While Durant shined, PLAYER_LAST struggled, held to just STAT points on 4 of STAT shooting."
"('Howard,Dwight', 'fg', '4')","While Durant shined, PLAYER_LAST struggled, held to just _STAT_ on STAT of _STAT_ shooting."
"('Howard,Dwight', 'pts', '11')","While Durant shined, PLAYER_LAST struggled, held to just STAT points on 4 of STAT shooting."
"('Durant,Kevin', 'fg', '11')","While PLAYER_LAST shined, Howard struggled, held to just STAT on 4 of STAT shooting."
"('Durant,Kevin', 'fg', '11')","While PLAYER_LAST shined, Howard struggled, held to just STAT on 4 of STAT shooting."
"('Nelson,Jameer', 'pts', '18')","Ryan Anderson scored _STAT_ points and PLAYER_FIRST PLAYER_LAST added STAT for the Magic, who shot just 37 percent from the field and had STAT turnovers."
"('Nelson,Jameer', 'pts', '18')","Ryan Anderson scored _STAT_ points and PLAYER_FIRST PLAYER_LAST added STAT for the Magic, who shot just 37 percent from the field and had STAT turnovers."
"('Anderson,Ryan', 'pts', '25')","PLAYER_FIRST PLAYER_LAST scored STAT points and Jameer Nelson added 18 for the Magic, who shot just 37 percent from the field and had 18 turnovers."
"('Paul,Chris', 'fg', '7')",PLAYER_LAST had a quiet first half: STAT on 1 for 6 shooting in 19 minutes.
"('Paul,Chris', 'fg3', '1')",PLAYER_LAST had a quiet first half: seven on STAT for 6 shooting in 19 minutes.
"('Paul,Chris', 'fg', '7')","It's not my first rodeo, it's STAT years,"" PLAYER_LAST said."
"('Jordan,DeAndre', 'blk', '8')","PLAYER_LAST had STAT blocks, six five rebounds."
"('Jordan,DeAndre', 'pts', '6')","PLAYER_LAST had eight blocks, STAT points and five rebounds."
"('Jordan,DeAndre', 'trb', '5')","PLAYER_LAST had eight blocks, six STAT rebounds."
"('GSW', 'fg3', '5')",The Warriors led 43 41 at halftime after closing with a 15 5 run.
"('Thompson,Klay', 'pts', '7')"," PLAYER_FIRST Thompson, the Warriors' rookie first round pick, scored STAT points in 19 minutes off the bench."
"('Calderon,Jose', 'pts', '15')","PLAYER_FIRST PLAYER_LAST scored STAT points with 11 assists, Amir Johnson had _STAT_ points and _STAT_ rebounds, Leandro Barbosa scored 14 and Andrea Bargnani 13."
"('Calderon,Jose', 'ast', '11')","PLAYER_FIRST PLAYER_LAST scored _STAT_ with STAT assists, Amir Johnson had _STAT_ rebounds, Leandro Barbosa scored 14 and Andrea Bargnani 13."
"('Barbosa,Leandro', 'pts', '14')","Jose Calderon scored _STAT_ points with 11 assists, Amir Johnson had _STAT_ points and _STAT_ rebounds, PLAYER_FIRST PLAYER_LAST scored STAT and Andrea Bargnani 13."
"('TOR', 'fg3', '9')","DeMar DeRozan scored nine of his _STAT_ in the fourth for Toronto, which had seven players score in double figures."
"('CLE', 'fg3', '6')", Cleveland's rookie guard scored just six hardly played like the No.
"('Bargnani,Andrea', 'pts', '13')","Jose Calderon scored _STAT_ points with 11 assists, Amir Johnson had STAT points and STAT rebounds, Leandro Barbosa scored 14 and PLAYER_FIRST PLAYER_LAST 13."
"('Bargnani,Andrea', 'pts', '13')","Jose Calderon scored _STAT_ points with 11 assists, Amir Johnson had STAT points and STAT rebounds, Leandro Barbosa scored 14 and PLAYER_FIRST PLAYER_LAST 13."
"('Sessions,Ramon', 'pts', '18')"," PLAYER_FIRST PLAYER_LAST led the Cavaliers with STAT and rookie Tristan Thompson, taken three picks after Cleveland selected Irving, added 12."
"('Johnson,Amir', 'pts', '13')","Jose Calderon scored _STAT_ points with 11 assists, PLAYER_FIRST PLAYER_LAST had STAT points and STAT rebounds, Leandro Barbosa scored 14 and Andrea Bargnani 13."
"('Johnson,Amir', 'trb', '13')","Jose Calderon scored _STAT_ with 11 assists, PLAYER_FIRST PLAYER_LAST had STAT STAT rebounds, Leandro Barbosa scored 14 and Andrea Bargnani 13."
"('Johnson,Amir', 'pts', '13')","Jose Calderon scored _STAT_ points with 11 assists, PLAYER_FIRST PLAYER_LAST had STAT points and STAT rebounds, Leandro Barbosa scored 14 and Andrea Bargnani 13."
"('Johnson,Amir', 'trb', '13')","Jose Calderon scored _STAT_ with 11 assists, PLAYER_FIRST PLAYER_LAST had STAT STAT rebounds, Leandro Barbosa scored 14 and Andrea Bargnani 13."
"('Stuckey,Rodney', 'pts', '17')"," Jonas Jerebko and PLAYER_FIRST PLAYER_LAST each scored STAT points for the Pistons, who never led."
"('West,David', 'fg', '3')","Collison hit a baseline jumper off an offensive board by West, then followed it with a STAT pointer to push Indiana's lead to 59 42."
"('Jerebko,Jonas', 'pts', '17')"," PLAYER_FIRST PLAYER_LAST and Rodney Stuckey each scored STAT points for the Pistons, who never led."
"('Hansbrough,Tyler', 'pts', '15')","Roy Hibbert had _STAT_ points and 14 rebounds, PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ rebounds and David West had _STAT_ points and 12 rebounds."
"('Hansbrough,Tyler', 'trb', '13')","Roy Hibbert had 14 rebounds, PLAYER_FIRST PLAYER_LAST had STAT rebounds and David West had 12 rebounds."
"('Collison,Darren', 'fg', '3')","PLAYER_LAST hit a baseline jumper off an offensive board by West, then followed it with a STAT pointer to push Indiana's lead to 59 42."
"('West,David', 'pts', '11')","Roy Hibbert had _STAT_ points and 14 rebounds, Tyler Hansbrough had _STAT_ points and _STAT_ rebounds and PLAYER_FIRST PLAYER_LAST had STAT points and 12 rebounds."
"('West,David', 'trb', '12')","Roy Hibbert had 14 rebounds, Tyler Hansbrough had _STAT_ rebounds and PLAYER_FIRST PLAYER_LAST had STAT rebounds."
"('Hibbert,Roy', 'pts', '16')","PLAYER_FIRST PLAYER_LAST had STAT points and 14 rebounds, Tyler Hansbrough had _STAT_ points and _STAT_ rebounds and David West had _STAT_ points and 12 rebounds."
"('Hibbert,Roy', 'trb', '14')","PLAYER_FIRST PLAYER_LAST had STAT rebounds, Tyler Hansbrough had _STAT_ rebounds and David West had 12 rebounds."
"('Hill,George', 'pts', '4')",PLAYER_LAST had STAT points and STAT assists in his regular season debut for Indiana.
"('Hill,George', 'ast', '4')",PLAYER_LAST had STAT STAT assists in his regular season debut for Indiana.
"('Hill,George', 'pts', '4')",PLAYER_LAST had STAT points and STAT assists in his regular season debut for Indiana.
"('Hill,George', 'ast', '4')",PLAYER_LAST had STAT STAT assists in his regular season debut for Indiana.
"('Martin,Kevin', 'fg3', '0')","Houston G PLAYER_FIRST Martin, who struggled during the preseason shooting just 2 for 12 from the field, started out STAT for 9 Monday ..."
"('HOU', 'trb', '41')","The Rockets kept both edges for the game, with two fewer turnovers and a 41 35 edge on the boards."
"('Howard,Dwight', 'pts', '21')",PLAYER_FIRST PLAYER_LAST finished with STAT points and Redick 20 for the game.
"('HOU', 'fg3', '6')","Center Samuel Dalembert, who's signing with Houston became official on Monday, had 10 connecting on 5 of _STAT_ field goals."
"('Redick,J.J.', 'pts', '20')",Dwight Howard finished with _STAT_ points and PLAYER_LAST STAT for the game.
"('Lee,Courtney', 'pts', '15')"," Kyle Lowry led Houston with _STAT_ points and 12 assists, Luis Scola added 19 and PLAYER_FIRST PLAYER_LAST STAT off the bench."
"('Dalembert,Samuel', 'pts', '10')","Center PLAYER_FIRST Dalembert, who's signing with Houston became official on Monday, had STAT points, connecting on 5 of _STAT_ field goals."
"('Dalembert,Samuel', 'fg', '5')","Center PLAYER_FIRST Dalembert, who's signing with Houston became official on Monday, had 10 connecting on STAT of _STAT_ field goals."
"('Scola,Luis', 'pts', '19')"," Kyle Lowry led Houston with _STAT_ points and 12 assists, PLAYER_FIRST PLAYER_LAST added STAT and Courtney Lee 15 off the bench."
"('Lowry,Kyle', 'pts', '20')"," PLAYER_FIRST PLAYER_LAST led Houston with STAT points and 12 assists, Luis Scola added 19 and Courtney Lee 15 off the bench."
"('Lowry,Kyle', 'ast', '12')"," PLAYER_FIRST PLAYER_LAST led Houston with STAT assists, Luis Scola added 19 and Courtney Lee 15 off the bench."
"('Wall,John', 'pts', '13')","PLAYER_LAST had STAT points, eight rebounds and six assists, shooting only 3 for STAT on field goal attempts, and 7 for STAT on free throws."
"('Wall,John', 'trb', '8')","PLAYER_LAST had 13 STAT rebounds and six assists, shooting only 3 for 13 on field goal attempts, and 7 for 13 on free throws."
"('Wall,John', 'fg', '3')","PLAYER_LAST had 13 eight rebounds and six assists, shooting only STAT for 13 on field goal attempts, and 7 for 13 on free throws."
"('Wall,John', 'orb', '3')","PLAYER_LAST had 13 eight rebounds and six assists, shooting only STAT for 13 on field goal attempts, and 7 for 13 on free throws."
"('Wall,John', 'pts', '13')","PLAYER_LAST had STAT points, eight rebounds and six assists, shooting only 3 for STAT on field goal attempts, and 7 for STAT on free throws."
"('Wall,John', 'ft', '7')","PLAYER_LAST had 13 eight rebounds and six assists, shooting only 3 for 13 on field goal attempts, and STAT for 13 on free throws."
"('Wall,John', 'pts', '13')","PLAYER_LAST had STAT points, eight rebounds and six assists, shooting only 3 for STAT on field goal attempts, and 7 for STAT on free throws."
"('WAS', 'fg3', '1')",All it took was one regular season game for the in fighting to start in Washington.
"('Williams,Deron', 'pts', '23')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard PLAYER_FIRST Williams, who accumulated STAT points, eight rebounds and eight assists."
"('Williams,Deron', 'fg', '8')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard PLAYER_FIRST Williams, who accumulated 23 STAT rebounds and STAT assists."
"('Williams,Deron', 'trb', '8')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard PLAYER_FIRST Williams, who accumulated 23 STAT rebounds and STAT assists."
"('Williams,Deron', 'fg', '8')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard PLAYER_FIRST Williams, who accumulated 23 STAT rebounds and STAT assists."
"('Williams,Deron', 'trb', '8')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard PLAYER_FIRST Williams, who accumulated 23 STAT rebounds and STAT assists."
"('Williams,Shelden', 'trb', '1')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard Deron Williams, who accumulated 23 eight rebounds and eight assists."
"('Williams,Shelden', 'fg', '0')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard Deron Williams, who accumulated 23 eight rebounds and eight assists."
"('Williams,Shelden', 'fg3', '0')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard Deron Williams, who accumulated 23 eight rebounds and eight assists."
"('Williams,Shelden', 'pts', '0')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard Deron Williams, who accumulated 23 points, eight rebounds and eight assists."
"('Williams,Shelden', 'orb', '0')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard Deron Williams, who accumulated 23 eight rebounds and eight assists."
"('Williams,Shelden', 'ast', '0')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard Deron Williams, who accumulated 23 eight rebounds and eight assists."
"('Williams,Shawne', 'fg', '0')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard Deron Williams, who accumulated 23 eight rebounds and eight assists."
"('Williams,Shawne', 'fg3', '0')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard Deron Williams, who accumulated 23 eight rebounds and eight assists."
"('Williams,Shawne', 'pts', '0')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard Deron Williams, who accumulated 23 points, eight rebounds and eight assists."
"('Williams,Shawne', 'ast', '0')","1 overall pick in the 2010 draft, was outdueled by New Jersey point guard Deron Williams, who accumulated 23 eight rebounds and eight assists."
"('Young,Nick', 'pts', '16')",Backup shooting guard PLAYER_FIRST PLAYER_LAST led Washington with STAT points in just 18 minutes.
"('Blatche,Andray', 'fg', '5')","It's not working for me,"" continued Blatche, who shot STAT for 13, was called for a technical foul."
"('Blatche,Andray', 'pts', '11')","It's not working for me,"" continued Blatche, who shot 5 for 13, scored STAT points and was called for a technical foul."
"('Mullens,Byron', 'fg', '5')",PLAYER_LAST was STAT of 7 from the field matching his career high with 10 points.
"('Mullens,Byron', 'pts', '10')",PLAYER_LAST was 5 of 7 from the field matching his career high with STAT points.
"('CHA', 'pts', '96')"," seconds remaining, as the Bobcats erased a 14 point second half deficit to beat the Milwaukee Bucks 96 95 in their season opener."
"('Augustin,D.J.', 'fg', '7')",PLAYER_LAST and Walker combined to score the last STAT for the Bobcats to hold off a late charge.
"('Dunleavy,Mike', 'fg', '3')",Jennings hit a pair of STAT pointers and PLAYER_FIRST PLAYER_LAST added another from the corner to take the lead.
"('Dunleavy,Mike', 'fg3', '3')",Jennings hit a pair of STAT pointers and PLAYER_FIRST PLAYER_LAST added another from the corner to take the lead.
"('Jennings,Brandon', 'pts', '22')","PLAYER_FIRST PLAYER_LAST had STAT points for the Bucks, while Andrew Bogut had _STAT_ points and nine rebounds."
"('Henderson,Gerald', 'pts', '18')", PLAYER_FIRST PLAYER_LAST added STAT points and nine rebounds for the Bobcats.
"('Henderson,Gerald', 'trb', '9')", PLAYER_FIRST PLAYER_LAST added STAT rebounds for the Bobcats.
"('MIL', 'pts', '95')"," seconds remaining, as the Bobcats erased a 14 point second half deficit to beat the Milwaukee Bucks 96 95 in their season opener."
"('Jennings,Brandon', 'fg3', '3')",PLAYER_LAST hit a pair of STAT pointers and Mike Dunleavy added another from the corner to take the lead.
"('Dunleavy,Mike', 'fg', '3')",PLAYER_LAST had a chance to put the Bucks ahead but missed an open STAT pointer with 11 seconds left.
"('Dunleavy,Mike', 'fg3', '3')",PLAYER_LAST had a chance to put the Bucks ahead but missed an open STAT pointer with 11 seconds left.
"('Bogut,Andrew', 'pts', '17')","Brandon Jennings had _STAT_ points for the Bucks, while PLAYER_FIRST PLAYER_LAST had STAT points and nine rebounds."
"('Bogut,Andrew', 'trb', '9')","Brandon Jennings had _STAT_ for the Bucks, while PLAYER_FIRST PLAYER_LAST had STAT rebounds."
"('Livingston,Shaun', 'pts', '14')","While Jackson was struggling with foul trouble, PLAYER_LAST had 11 of his STAT points as the Bucks built a 52 41 lead."
"('Durant,Kevin', 'pts', '33')",PLAYER_LAST scored STAT points to lead the Thunder to a 104 100 victory over the Timberwolves on Monday night.
"('MIN', 'pts', '100')",Durant scored _STAT_ points to lead the Thunder to a 104 100 victory over the Timberwolves on Monday night.
"('Williams,Derrick', 'pts', '13')","2 overall pick PLAYER_FIRST PLAYER_LAST scored STAT for the Wolves, who were 3 for 22 from 3 point range."
"('Williams,Derrick', 'fg3', '0')","2 overall pick PLAYER_FIRST PLAYER_LAST scored 13 for the Wolves, who were 3 for 22 from 3 point range."
"('OKC', 'pts', '104')",Durant scored _STAT_ points to lead the Thunder to a 104 100 victory over the Timberwolves on Monday night.
"('MIN', 'fg3', '3')"," Rubio entered with just over 3 minutes to play in the first quarter, and he electrified Minnesota's offense with his sensational passing."
"('Cook,Daequan', 'fg', '2')",Thunder SG PLAYER_FIRST PLAYER_LAST hit STAT huge 3s early in the fourth.
"('Cook,Daequan', 'fg3', '2')",Thunder SG PLAYER_FIRST PLAYER_LAST hit STAT huge 3s early in the fourth.
"('Durant,Kevin', 'fg3', '2')","They missed 20 of their first 28 shots, and PLAYER_LAST started the game STAT for 8."
"('Beasley,Michael', 'pts', '24')","PLAYER_FIRST PLAYER_LAST scored STAT points on 11 for 27 shooting, and No."
"('Beasley,Michael', 'fg', '11')","PLAYER_FIRST PLAYER_LAST scored _STAT_ on STAT for 27 shooting, and No."
"('Barea,J.J.', 'pts', '14')",PLAYER_LAST scored STAT points.
"('Odom,Lamar', 'fg', '1')",PLAYER_LAST scored three making only STAT of 10 shots.
"('Carter,Vince', 'pts', '11')","For Dallas, Jason Kidd scored 12 points, PLAYER_LAST scored STAT and Rodrigue Beaubois scored 10."
"('Fernandez,Rudy', 'pts', '8')",PLAYER_LAST scored STAT points and Brewer had five.
"('Lawson,Ty', 'pts', '27')","PLAYER_LAST made 8 of 9 shots in the first half, and finished with STAT points."
"('Haywood,Brendan', 'fg', '3')","Aside from Nowitzki and Kidd, the other STAT starters (Marion, PLAYER_FIRST PLAYER_LAST and West) scored a combined 11 points."
"('Kidd,Jason', 'pts', '12')","For Dallas, PLAYER_FIRST PLAYER_LAST scored STAT points, Carter scored 11 and Rodrigue Beaubois scored 10."
"('Gallinari,Danilo', 'pts', '15')","PLAYER_FIRST PLAYER_LAST had STAT points and seven rebounds, and Arron Afflalo scored 11."
"('Gallinari,Danilo', 'trb', '7')","PLAYER_FIRST PLAYER_LAST had STAT rebounds, and Arron Afflalo scored 11."
"('Gasol,Marc', 'trb', '6')", Randolph had STAT rebounds and PLAYER_LAST had 13 and STAT.
"('Gasol,Marc', 'pts', '13')", Randolph had _STAT_ points and six rebounds and PLAYER_LAST had STAT and six.
"('Duncan,Tim', 'pts', '10')","PLAYER_LAST had STAT points in 22 minutes as the challenge of rationing the 35 year old's minutes in a compressed, grueling schedule began."
"('Randolph,Zach', 'pts', '10')", PLAYER_LAST had STAT points and six rebounds and Gasol had 13 and six.
"('Randolph,Zach', 'trb', '6')", PLAYER_LAST had STAT rebounds and Gasol had 13 and STAT.
"('Leonard,Kawhi', 'pts', '6')","PLAYER_LAST had STAT points during the stretch, including hitting a corner 3 pointer after catching a nifty behind the back pass from Ginobili."
"('Jefferson,Richard', 'pts', '14')","PLAYER_FIRST Jefferson, once thought to be a goner in San Antonio under the NBA's new amnesty clause, added STAT points for the Spurs."
"('MEM', 'tov', '24')", The Grizzlies committed 24 turnovers.
"('Ginobili,Manu', 'fg3', '3')","Leonard had six during the stretch, including hitting a corner STAT pointer after catching a nifty behind the back pass from Ginobili."
"('Conley,Mike', 'pts', '11')", PLAYER_FIRST PLAYER_LAST had STAT points and seven assists for the Grizzlies.
"('Conley,Mike', 'ast', '7')", PLAYER_FIRST PLAYER_LAST had STAT assists for the Grizzlies.
"('Gay,Rudy', 'pts', '19')",""" PLAYER_FIRST PLAYER_LAST led Memphis with STAT points and _STAT_ rebounds in his first game in nearly _STAT_ months."
"('Gay,Rudy', 'trb', '10')",""" PLAYER_FIRST PLAYER_LAST led Memphis with STAT rebounds in his first game in nearly STAT months."
"('Gay,Rudy', 'trb', '10')",""" PLAYER_FIRST PLAYER_LAST led Memphis with STAT rebounds in his first game in nearly STAT months."
"('Gortat,Marcin', 'pts', '13')",PLAYER_FIRST PLAYER_LAST added STAT for Phoenix.
"('Lopez,Robin', 'fg3', '0')",Lopez's three point play cut the lead to 47 41 at the half.
"('PHO', 'fg3', '5')","Phoenix began a season with the same starting five that finished the previous one, the first time that's happened since the 1990 91 season."
"('Landry,Carl', 'pts', '14')",PLAYER_FIRST PLAYER_LAST added STAT and Trevor Ariza 13 for New Orleans.
"('Gordon,Eric', 'pts', '20')",PLAYER_LAST scored STAT points.
"('Ariza,Trevor', 'pts', '13')",Carl Landry added 14 and PLAYER_FIRST PLAYER_LAST STAT for New Orleans.
"('Nash,Steve', 'pts', '14')",PLAYER_FIRST PLAYER_LAST had STAT points and _STAT_ assists but was scoreless in the final quarter.
"('Nash,Steve', 'ast', '12')",PLAYER_FIRST PLAYER_LAST had STAT assists but was scoreless in the final quarter.
"('PHO', 'fg3', '5')","Both teams were awful from 3 point range, the Suns going 5 of 25 and New Orleans 2 of 16."
"('Matthews,Wesley', 'fg3', '3')","Jamal Crawford, Wallace, PLAYER_LAST and Nicolas Batum all hit STAT pointers to put the Blazers up 95 80."
"('Aldridge,LaMarcus', 'pts', '25')","""We have a lot of weapons,"" said PLAYER_FIRST Aldridge, who had STAT points to lead the Blazers."
"('Iguodala,Andre', 'pts', '22')",PLAYER_FIRST Igoudala had STAT points and eight rebounds.
"('Iguodala,Andre', 'trb', '8')",PLAYER_FIRST Igoudala had STAT rebounds.
"('Wallace,Gerald', 'pts', '21')", PLAYER_FIRST PLAYER_LAST had STAT points and nine rebounds for the Blazers.
"('Wallace,Gerald', 'trb', '9')", PLAYER_FIRST PLAYER_LAST had STAT rebounds for the Blazers.
"('Williams,Lou', 'fg3', '3')","PLAYER_LAST scored 10 straight for Philly, including back to back STAT pointers to cut the lead to 106 103 with 16 second remaining."
"('POR', 'fg3', '9')", Gerald Wallace had nine rebounds for the Blazers.
"('Matthews,Wesley', 'pts', '16')",PLAYER_FIRST Mathews added STAT points.
"('PHI', 'orb', '9')","Philadelphia C Spencer Hawes had just missed a triple double for the 76ers, with 10 _STAT_ rebounds and 9 assists."
"('Hawes,Spencer', 'pts', '10')","Philadelphia C PLAYER_FIRST PLAYER_LAST had just missed a triple double for the 76ers, with STAT points, _STAT_ rebounds and 9 assists."
"('Hawes,Spencer', 'trb', '14')","Philadelphia C PLAYER_FIRST PLAYER_LAST had just missed a triple double for the 76ers, with 10 STAT rebounds and 9 assists."
"('Hawes,Spencer', 'ast', '9')","Philadelphia C PLAYER_FIRST PLAYER_LAST had just missed a triple double for the 76ers, with 10 _STAT_ rebounds and STAT assists."
"('Thornton,Marcus', 'fg', '9')",PLAYER_LAST scored seven of the Kings' first STAT of the fourth as Sacramento maintained its lead.
"('SAC', 'fg3', '9')",Thornton scored seven of the Kings' first nine of the fourth as Sacramento maintained its lead.
"('Cousins,DeMarcus', 'fg3', '0')", The Kings went on an 11 STAT run around halftime and then put together a strong finish to the third quarter led by Cousins.
"('Hayes,Chuck', 'pts', '7')",PLAYER_LAST had STAT points and nine rebounds in 27 minutes.
"('Hayes,Chuck', 'trb', '9')",PLAYER_LAST had seven STAT rebounds in 27 minutes.
"('Curry,Stephen', 'fg', '7')",PLAYER_LAST rolled his surgically repaired ankle and limped off the court for the second time in STAT days.
"('Korver,Kyle', 'fg', '3')",PLAYER_FIRST PLAYER_LAST made a pair of STAT pointers in a 14 second span to pull Chicago within 96 91 but the Bulls couldn't get closer.
"('Korver,Kyle', 'fg3', '3')",PLAYER_FIRST PLAYER_LAST made a pair of STAT pointers in a 14 second span to pull Chicago within 96 91 but the Bulls couldn't get closer.
"('CHI', 'pts', '91')",Kyle Korver made a pair of 3 pointers in a 14 second span to pull Chicago within 96 91 but the Bulls couldn't get closer.
"('Rose,Derrick', 'pts', '13')",PLAYER_LAST had a poor shooting night and finished with STAT points for Chicago.
"('Curry,Stephen', 'fg', '7')",PLAYER_LAST also shadowed Rose and helped hold him to STAT in the first half.
"('McGrady,Tracy', 'pts', '12')","""This was big,"" said newcomer PLAYER_FIRST McGrady, who added STAT points."
"('ATL', 'fg3', '12')","he Hawks shot 12 for 23 from 3 point range, while the Nets were 5 of 24."
"('Williams,Shelden', 'fg', '2')",The Hawks took command early as PLAYER_LAST hit STAT 3 pointers in a game opening 11 STAT spurt.
"('Williams,Shelden', 'fg', '2')",The Hawks took command early as PLAYER_LAST hit STAT 3 pointers in a game opening 11 STAT spurt.
"('NJN', 'fg3', '5')","he Hawks shot 12 for 23 from 3 point range, while the Nets were 5 of 24."
"('Williams,Marvin', 'fg', '3')","Deron PLAYER_LAST finished with _STAT_ on STAT of _STAT_ shooting with six turnovers, while Humphries had six rebounds."
"('Humphries,Kris', 'orb', '3')","Deron Williams finished with _STAT_ on STAT of _STAT_ shooting with six turnovers, while PLAYER_LAST had six rebounds."
"('Humphries,Kris', 'pts', '11')","Deron Williams finished with _STAT_ points on 3 of STAT shooting with six turnovers, while PLAYER_LAST had STAT points and six rebounds."
"('Humphries,Kris', 'trb', '6')","Deron Williams finished with _STAT_ on 3 of _STAT_ shooting with STAT turnovers, while PLAYER_LAST had STAT rebounds."
"('Humphries,Kris', 'pts', '11')","Deron Williams finished with _STAT_ points on 3 of STAT shooting with six turnovers, while PLAYER_LAST had STAT points and six rebounds."
