event,sentence
"('Mahinmi,Ian', 'blk', '4')"," Lance Stephenson scored 16 Roy Hibbert blocked five shots and PLAYER_FIRST PLAYER_LAST blocked STAT for Indiana, which had _STAT_ blocks in all."
"('Stephenson,Lance', 'pts', '16')"," PLAYER_FIRST PLAYER_LAST scored STAT points, Roy Hibbert blocked five shots and Ian Mahinmi blocked four for Indiana, which had _STAT_ blocks in all."
"('Gordon,Eric', 'pts', '25')","PLAYER_FIRST PLAYER_LAST scored STAT points, Holiday added 24 and Anthony Davis had 20 points, _STAT_ rebounds and three blocks."
"('Gordon,Eric', 'fg3', '3')",PLAYER_FIRST PLAYER_LAST scored 25 Holiday added 24 and Anthony Davis had 20 _STAT_ rebounds and STAT blocks.
"('Gordon,Eric', 'trb', '3')",PLAYER_FIRST PLAYER_LAST scored 25 Holiday added 24 and Anthony Davis had 20 _STAT_ rebounds and STAT blocks.
"('Hibbert,Roy', 'blk', '5')"," Lance Stephenson scored 16 PLAYER_FIRST PLAYER_LAST blocked STAT shots and Ian Mahinmi blocked four for Indiana, which had _STAT_ blocks in all."
"('IND', 'blk', '12')"," Lance Stephenson scored 16 Roy Hibbert blocked five shots and Ian Mahinmi blocked four for Indiana, which had _STAT_ blocks in all."
"('Teague,Jeff', 'ast', '9')","PLAYER_LAST also had STAT assists, and Paul Millsap finished with _STAT_ on STAT of 15 shooting operating inside."
"('Teague,Jeff', 'ast', '9')","PLAYER_LAST also had STAT assists, and Paul Millsap finished with _STAT_ on STAT of 15 shooting operating inside."
"('Millsap,Paul', 'fg', '9')","Teague also had STAT assists, and PLAYER_FIRST PLAYER_LAST finished with _STAT_ on STAT of 15 shooting operating inside."
"('Millsap,Paul', 'pts', '20')","Teague also had nine assists, and PLAYER_FIRST PLAYER_LAST finished with STAT points on 9 of 15 shooting operating inside."
"('Millsap,Paul', 'fg', '9')","Teague also had STAT assists, and PLAYER_FIRST PLAYER_LAST finished with _STAT_ on STAT of 15 shooting operating inside."
"('Martin,Cartier', 'fg3', '3')",PLAYER_FIRST PLAYER_LAST hit a STAT pointer to pull Atlanta within 84 76 going in the fourth quarter.
"('Randolph,Zach', 'pts', '2')"," Continuing his struggles from last season's playoff sweep to the Spurs, PLAYER_FIRST PLAYER_LAST was held STAT STAT points on 1 for 6 shooting."
"('Randolph,Zach', 'pts', '2')"," Continuing his struggles from last season's playoff sweep to the Spurs, PLAYER_FIRST PLAYER_LAST was held STAT STAT points on 1 for 6 shooting."
"('Randolph,Zach', 'fg', '1')"," Continuing his struggles from last season's playoff sweep to the Spurs, PLAYER_FIRST PLAYER_LAST was held two _STAT_ on STAT for 6 shooting."
"('Diaw,Boris', 'pts', '14')",PLAYER_LAST had STAT points and Mills and Manu Ginobili had _STAT_ points apiece.
"('Miller,Mike', 'pts', '11')",Quincy Pondexter had _STAT_ points and PLAYER_FIRST PLAYER_LAST STAT in his return to the Grizzlies after playing last season for the Heat.
"('Pondexter,Quincy', 'pts', '13')",PLAYER_FIRST PLAYER_LAST had STAT points and Mike Miller 11 in his return to the Grizzlies after playing last season for the Heat.
"('Gasol,Marc', 'pts', '14')", Tony Allen had _STAT_ points and PLAYER_FIRST PLAYER_LAST and Mike Conley had STAT each for Memphis.
"('Conley,Mike', 'pts', '14')", Tony Allen had _STAT_ points and Marc Gasol and PLAYER_FIRST PLAYER_LAST had STAT each for Memphis.
"('Ginobili,Manu', 'pts', '12')",Diaw had _STAT_ points and Mills and PLAYER_FIRST PLAYER_LAST had STAT points apiece.
"('Diaw,Boris', 'fg', '6')","After frustrating Popovich by being a pass first player last season, PLAYER_LAST was aggressively seeking his shot while going STAT for 9 against the Grizzlies."
"('MEM', 'fg3', '8')","Memphis failed to score in the opening 8 minutes of the second quarter, missing their first _STAT_ field goal attempts."
"('Mills,Patty', 'pts', '12')",Diaw had _STAT_ points and PLAYER_LAST and Manu Ginobili had STAT points apiece.
"('Allen,Tony', 'pts', '15')", PLAYER_FIRST PLAYER_LAST had STAT points and Marc Gasol and Mike Conley had 14 each for Memphis.
"('OKC', 'pts', '101')"," seconds remaining, to lift the Oklahoma City Thunder to a 101 98 win over the Utah Jazz on Wednesday night."
"('Favors,Derrick', 'fg3', '0')"," Favors, who is not accustomed to attracting so much defensive attention, is now a focal point of the Jazz offense."
"('OKC', 'ast', '9')",Jackson and Sefolosha acquitted themselves well but the Thunder had little success inside and recorded just nine assists.
"('Sefolosha,Thabo', 'pts', '14')",PLAYER_FIRST PLAYER_LAST also had STAT points for the Thunder in this hard fought game against the rebuilding Jazz.
"('Kanter,Enes', 'pts', '14')",Derrick Favors had _STAT_ points and nine rebounds while PLAYER_FIRST PLAYER_LAST tallied STAT points and 10 boards.
"('Kanter,Enes', 'trb', '10')",Derrick Favors had nine rebounds while PLAYER_FIRST PLAYER_LAST tallied STAT boards.
"('Jackson,Reggie', 'pts', '14')",PLAYER_FIRST PLAYER_LAST scored STAT points and had two clutch free throws of his own with 10.5 seconds to play.
"('Jackson,Reggie', 'fg3', '2')",PLAYER_FIRST PLAYER_LAST had STAT clutch free throws of his own with 10.5 seconds to play.
"('Jackson,Reggie', 'ft', '2')",PLAYER_FIRST PLAYER_LAST had STAT clutch free throws of his own with 10.5 seconds to play.
"('Harris,Mike', 'pts', '13')","Coach told me before the game to get physical and make every shot difficult,"" said Harris, who had STAT points."
"('Favors,Derrick', 'pts', '15')",PLAYER_FIRST PLAYER_LAST had STAT points and nine rebounds while Enes Kanter tallied _STAT_ points and 10 boards.
"('Favors,Derrick', 'trb', '9')",PLAYER_FIRST PLAYER_LAST had STAT rebounds while Enes Kanter tallied 10 boards.
"('UTA', 'pts', '98')"," seconds remaining, to lift the Oklahoma City Thunder to a 101 98 win over the Utah Jazz on Wednesday night."
"('Wright,Dorell', 'pts', '3')",Dragic was called for a foul on PLAYER_FIRST Wright's STAT point attempt with 5.4 seconds left in the quarter.
"('Wright,Dorell', 'fg', '0')",Dragic was called for a foul on PLAYER_FIRST Wright's 3 point attempt with 5.4 seconds left in the quarter.
"('Wright,Dorell', 'fg3', '0')",Dragic was called for a foul on PLAYER_FIRST Wright's 3 point attempt with 5.4 seconds left in the quarter.
"('Tucker,P.J.', 'fg3', '2')","PLAYER_LAST also scored 18, all but STAT in the second half, for Phoenix."
"('Frye,Channing', 'fg', '3')","Game notes
 PLAYER_LAST hit the Suns' first STAT pointer of the season in the third quarter after they had missed their first nine."
"('PHO', 'fg3', '4')",Phoenix has just four players from last season's 25 57 team.
"('Lillard,Damian', 'pts', '32')","PLAYER_FIRST PLAYER_LAST scored STAT points, including 6 of 12 3 pointers, for the Trail Blazers."
"('Lillard,Damian', 'fg3', '6')","PLAYER_FIRST PLAYER_LAST scored 32 including STAT of 12 3 pointers, for the Trail Blazers."
"('Thompson,Jason', 'fg', '1')",Lawson missed a difficult reverse over PLAYER_LAST with about STAT second left.
"('DEN', 'pts', '88')", But the Nuggets answered with six straight points to tie the game at 88 on J.J.
"('Thompson,Klay', 'fg', '15')"," PLAYER_LAST finished STAT of 19 from the floor, including 5 of 7 from 3 point range, to lead the Warriors to the runaway win."
"('Thompson,Klay', 'fg3', '5')"," PLAYER_LAST finished 15 of 19 from the floor, including STAT of 7 from 3 point range, to lead the Warriors to the runaway win."
"('GSW', 'fg3', '15')"," Thompson finished 15 of 19 from the floor, including 5 of 7 from 3 point range, to lead the Warriors to the runaway win."
"('Iguodala,Andre', 'pts', '7')","PLAYER_LAST finished with STAT points, four rebounds and four assists."
"('Iguodala,Andre', 'trb', '4')",PLAYER_LAST finished with seven STAT rebounds and STAT assists.
"('Iguodala,Andre', 'ast', '4')",PLAYER_LAST finished with seven STAT rebounds and STAT assists.
"('Iguodala,Andre', 'trb', '4')",PLAYER_LAST finished with seven STAT rebounds and STAT assists.
"('Iguodala,Andre', 'ast', '4')",PLAYER_LAST finished with seven STAT rebounds and STAT assists.
"('Boozer,Carlos', 'pts', '14')",Luol Deng had _STAT_ points and PLAYER_FIRST PLAYER_LAST finished with STAT as the Bulls beat the Knicks for the sixth straight time.
"('Hardaway,Tim', 'pts', '10')","PLAYER_LAST provided a spark as a reserve, finishing with STAT points."
"('Chandler,Tyson', 'trb', '19')","PLAYER_LAST had STAT rebounds, but the Knicks were unable to open the season with consecutive victories on consecutive nights."
"('Deng,Luol', 'pts', '17')",PLAYER_FIRST PLAYER_LAST had STAT points and Carlos Boozer finished with 14 as the Bulls beat the Knicks for the sixth straight time.
"('Anthony,Carmelo', 'pts', '22')",PLAYER_LAST led New York with STAT points on 8 of 24 shooting.
"('Anthony,Carmelo', 'fg', '8')",PLAYER_LAST led New York with _STAT_ on STAT of 24 shooting.
"('LAC', 'fg3', '9')",S ANGELES    The Clippers finished nine games ahead of second place Golden State last season to win the franchise's first division championship.
"('Griffin,Blake', 'pts', '23')",PLAYER_LAST had STAT points and _STAT_ rebounds for the Clippers before fouling out with 3:53 remaining.
"('Griffin,Blake', 'trb', '10')",PLAYER_LAST had STAT rebounds for the Clippers before fouling out with 3:53 remaining.
"('Bogut,Andrew', 'pts', '17')","David Lee scored _STAT_ points before fouling out with 4:10 to play, and center PLAYER_FIRST PLAYER_LAST had STAT points."
"('Lee,David', 'pts', '22')","PLAYER_FIRST PLAYER_LAST scored STAT points before fouling out with 4:10 to play, and center Andrew Bogut had 17 points."
"('Redick,J.J.', 'fg3', '3')",Redick's STAT pointer with 3:12 left.
"('Jordan,DeAndre', 'trb', '17')",Reserve Jamal Crawford added STAT and PLAYER_FIRST PLAYER_LAST had STAT rebounds and nine points.
"('Jordan,DeAndre', 'trb', '17')",Reserve Jamal Crawford added STAT and PLAYER_FIRST PLAYER_LAST had STAT rebounds and nine points.
"('Jordan,DeAndre', 'pts', '9')","Reserve Jamal Crawford added _STAT_ points, and PLAYER_FIRST PLAYER_LAST had _STAT_ rebounds and STAT points."
"('Crawford,Jamal', 'pts', '17')","Reserve PLAYER_FIRST PLAYER_LAST added STAT points, and DeAndre Jordan had STAT rebounds and nine points."
"('Crawford,Jamal', 'pts', '17')","Reserve PLAYER_FIRST PLAYER_LAST added STAT points, and DeAndre Jordan had STAT rebounds and nine points."
"('Thompson,Klay', 'pts', '10')",PLAYER_LAST finished with STAT points.
"('Miles,C.J.', 'pts', '22')","CJ PLAYER_LAST had STAT points, and Tristan Thompson added 21 for the Cavaliers."
"('Irving,Kyrie', 'pts', '16')","PLAYER_LAST had STAT points on 7 of 17 shooting, but was held to one point in the fourth quarter."
"('Irving,Kyrie', 'fg', '7')","PLAYER_LAST had _STAT_ on STAT of 17 shooting, but was held to one point in the fourth quarter."
"('Irving,Kyrie', 'fg3', '0')","PLAYER_LAST had _STAT_ on 7 of 17 shooting, but was held to one point in the fourth quarter."
"('Thompson,Tristan', 'pts', '21')","CJ Miles had 22 points, and PLAYER_FIRST PLAYER_LAST added STAT for the Cavaliers."
"('Kidd-Gilchrist,Michael', 'pts', '15')",PLAYER_FIRST Kidd Gilchrist finished with STAT points and six rebounds for the Bobcats.
"('Kidd-Gilchrist,Michael', 'fg', '6')",PLAYER_FIRST Kidd Gilchrist finished with STAT rebounds for the Bobcats.
"('Kidd-Gilchrist,Michael', 'trb', '6')",PLAYER_FIRST Kidd Gilchrist finished with STAT rebounds for the Bobcats.
"('Walker,Kemba', 'fg3', '3')", PLAYER_LAST hit a STAT pointer over Irving with 58 seconds left to break a tie.
"('Henderson,Gerald', 'fg', '2')",PLAYER_FIRST PLAYER_LAST added STAT free throws in the final 11 seconds to make it a STAT possession game and help seal the win.
"('Henderson,Gerald', 'fg', '2')",PLAYER_FIRST PLAYER_LAST added STAT free throws in the final 11 seconds to make it a STAT possession game and help seal the win.
"('Oladipo,Victor', 'trb', '6')","Oladipo, the second pick in the NBA draft, added STAT assists and STAT rebounds."
"('Oladipo,Victor', 'ast', '6')","Oladipo, the second pick in the NBA draft, added STAT assists and STAT rebounds."
"('Oladipo,Victor', 'trb', '6')","Oladipo, the second pick in the NBA draft, added STAT assists and STAT rebounds."
"('Oladipo,Victor', 'ast', '6')","Oladipo, the second pick in the NBA draft, added STAT assists and STAT rebounds."
"('Holiday,Jrue', 'fg3', '1')"," percent) in the second quarter, with PLAYER_LAST and Tyreke Evans a combined STAT for 14 at halftime."
"('Evans,Tyreke', 'fg', '0')",PLAYER_LAST finished the game with no on STAT for 7 shooting.
"('Evans,Tyreke', 'fg3', '0')",PLAYER_LAST finished the game with no on STAT for 7 shooting.
"('Evans,Tyreke', 'pts', '0')",PLAYER_LAST finished the game with no points on STAT for 7 shooting.
"('Davis,Anthony', 'pts', '26')","New Orleans got STAT points and _STAT_ rebounds from PLAYER_FIRST Davis, but the No."
"('Davis,Anthony', 'trb', '17')","New Orleans got STAT rebounds from PLAYER_FIRST Davis, but the No."
"('NOP', 'orb', '17')","New Orleans got _STAT_ rebounds from Anthony Davis, but the No."
"('Vucevic,Nikola', 'pts', '10')","Kyle O'Quinn had _STAT_ points and Jammer Nelson, PLAYER_FIRST PLAYER_LAST and Victor Oladipo added STAT apiece for the Magic."
"('NOP', 'fg3', '6')","The Pelicans were 6 for 21 (28.6 percent) in the second quarter, with Holiday and Tyreke Evans a combined 1 for 14 at halftime."
"('Nelson,Jameer', 'pts', '10')","Kyle O'Quinn had _STAT_ points and Jammer Nelson, Nikola Vucevic and Victor Oladipo added STAT apiece for the Magic."
"('Harkless,Maurice', 'fg3', '2')","The Magic, meanwhile, were getting surprising contributions from Harkless, who scored _STAT_ in the first STAT games and matched that in the first half."
"('Oladipo,Victor', 'pts', '10')","Kyle O'Quinn had _STAT_ points and Jammer Nelson, Nikola Vucevic and PLAYER_FIRST PLAYER_LAST added STAT apiece for the Magic."
"('Harkless,Maurice', 'fg3', '2')","PLAYER_LAST was 3 for 4 in the quarter, including STAT 3 pointers, and scored 12 points."
"('Gortat,Marcin', 'pts', '12')","PLAYER_FIRST Gortat, acquired only a week ago in a trade, had STAT points and seven rebounds in his first start for Washington."
"('Gortat,Marcin', 'trb', '7')","PLAYER_FIRST Gortat, acquired only a week ago in a trade, had STAT rebounds in his first start for Washington."
"('PHI', 'fg3', '6')"," Game notes
Philadelphia missed its first 10 attempts from 3 point range and finished 6 for 23 for the game."
"('Hawes,Spencer', 'pts', '16')","Evan Turner scored 23 points, and PLAYER_FIRST PLAYER_LAST had STAT points and 14 rebounds."
"('Hawes,Spencer', 'trb', '14')",Evan Turner scored 23 and PLAYER_FIRST PLAYER_LAST had STAT rebounds.
"('Turner,Evan', 'pts', '23')","PLAYER_FIRST PLAYER_LAST scored STAT points, and Spencer Hawes had _STAT_ points and 14 rebounds."
"('Ariza,Trevor', 'trb', '14')","PLAYER_FIRST PLAYER_LAST added STAT rebounds for the Wizards, who played without forward Nene (strained left calf)."
"('Korver,Kyle', 'pts', '17')","Jeff Teague and PLAYER_FIRST PLAYER_LAST had STAT points apiece, while Paul Millsap added 15."
"('Lowry,Kyle', 'pts', '16')","PLAYER_FIRST PLAYER_LAST scored STAT points, Rudy Gay 14 and Johnson 13."
"('Gay,Rudy', 'pts', '14')","Kyle Lowry scored 16 points, PLAYER_FIRST PLAYER_LAST STAT and Johnson 13."
"('Teague,Jeff', 'pts', '17')","PLAYER_FIRST PLAYER_LAST and Kyle Korver had STAT points apiece, while Paul Millsap added 15."
"('Pachulia,Zaza', 'ft', '10')","Milwaukee made STAT straight free throws to end the game, including two by PLAYER_LAST that made it 99 98."
"('Henson,John', 'pts', '14')"," PLAYER_FIRST PLAYER_LAST had STAT points and nine rebounds for the Bucks, who scored the last _STAT_ points of the game."
"('Henson,John', 'trb', '9')"," PLAYER_FIRST PLAYER_LAST had STAT rebounds for the Bucks, who scored the last _STAT_ of the game."
"('Faverani,Vitor', 'pts', '12')", PLAYER_FIRST PLAYER_LAST scored STAT points with _STAT_ rebounds for Boston.
"('Faverani,Vitor', 'trb', '18')", PLAYER_FIRST PLAYER_LAST scored _STAT_ with STAT rebounds for Boston.
"('BOS', 'orb', '18')", Vitor Faverani scored _STAT_ with _STAT_ rebounds for Boston.
"('Harden,James', 'fg3', '4')"," PLAYER_LAST also had STAT steals, three assists and STAT rebounds."
"('Harden,James', 'trb', '4')"," PLAYER_LAST also had STAT steals, three assists and STAT rebounds."
"('Harden,James', 'stl', '4')"," PLAYER_LAST also had STAT steals, three assists and STAT rebounds."
"('Harden,James', 'ast', '3')"," PLAYER_LAST also had four steals, STAT assists and four rebounds."
"('Harden,James', 'fg3', '4')"," PLAYER_LAST also had STAT steals, three assists and STAT rebounds."
"('Harden,James', 'trb', '4')"," PLAYER_LAST also had STAT steals, three assists and STAT rebounds."
"('Harden,James', 'stl', '4')"," PLAYER_LAST also had STAT steals, three assists and STAT rebounds."
"('Casspi,Omri', 'fg3', '3')",But PLAYER_LAST collected STAT fouls in the first period and didn't play in the second quarter.
"('Lin,Jeremy', 'fg3', '0')",The Rockets capped that drive with a 3 point play by Harden followed by a steal by him and a reverse layup by Lin.
